Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes,geometry,centroid,latitude,longitude
"MULTILINESTRING ((-73.83582617399998 40.71139888500005, -73.83610378299994 40.71119353900008, -73.83631835999995 40.71093126400007, -73.83665497699997 40.710663906000036, -73.83710970599998 40.71044945600005, -73.83747036899996 40.71030607100005, -73.83776809399995 40.71014646700007, -73.83810202899997 40.709920786000055, -73.83824552699997 40.70979777900004, -73.83843596399998 40.70961275900004, -73.83866124599996 40.709337393000055, -73.83875916999995 40.709191890000056, -73.83897776999999 40.70868867200005, -73.83906091799997 40.70832777600003, -73.83906896499997 40.70805634100003, -73.83906896499997 40.70805634100003, -73.83894424199997 40.70735589000003, -73.83894424199997 40.70735589000003, -73.83893083099997 40.70711291600003, -73.83896838199996 40.70675506200007, -73.83896838199996 40.70675506200007, -73.83897380799993 40.706572046000076, -73.83893227299995 40.70633877900008, -73.83879806199997 40.70610441300005, -73.83854056999996 40.70579535200005, -73.83802558599996 40.70512436000007, -73.83795470999996 40.70503201400004, -73.83784721899997 40.70473904600004, -73.83785164999995 40.70458958000006, -73.83787162599998 40.70454359000007, -73.83793036699996 40.704439129000036, -73.83798485199998 40.70438618900005, -73.83819992899998 40.704251045000035, -73.83840914199999 40.70417479400004, -73.83898977499996 40.70411614500006, -73.83917164699994 40.70409777500004, -73.83941228799995 40.70401924300006, -73.83947978199996 40.70396563000003, -73.83973415299994 40.70362375500008, -73.83999969199994 40.703185563000034, -73.84012744499995 40.70303986600004, -73.84018651699995 40.70298246900006, -73.84043555099998 40.702874456000075, -73.84058441299999 40.70284903800007, -73.84129251599995 40.70284090500007, -73.84147822299997 40.70282214700006, -73.84220044399996 40.70266196600005, -73.84265126799994 40.702628670000024, -73.84284021399998 40.702626500000065, -73.84311507699994 40.70263858200008, -73.84335647599994 40.70266095000005, -73.84380708699996 40.70269145100008, -73.84403244299995 40.70268886200006, -73.84448971399996 40.70264267300007, -73.84471765499995 40.70260493500007, -73.84516633499999 40.70253065000003, -73.84534359599996 40.70251755800007, -73.84543503899994 40.70252157800007, -73.84565781199996 40.70255724700007, -73.84585361299997 40.70262739900005, -73.84606282499993 40.70273923500008, -73.84635860699996 40.70295632600005, -73.84673471799994 40.703189630000054, -73.84701366799999 40.70332383300007, -73.84729932299996 40.70343261800008, -73.84751658199997 40.703504803000044, -73.84795914699998 40.70359935400006, -73.84814555999998 40.703622738000035, -73.84854621399995 40.70364035000006, -73.84890877799995 40.70361357300004, -73.84932170899998 40.703485486000034, -73.84964844699994 40.70334377100005, -73.84990911299997 40.70319268000003, -73.85018403899994 40.702996459000076, -73.85035125399997 40.70283398400005, -73.85049378599996 40.702671433000035, -73.85054709799994 40.702548696000065, -73.85059857699997 40.70243018100007, -73.85065476699998 40.70222783600008, -73.85072255699998 40.70188837000006, -73.85072750099994 40.701721589000044, -73.85069526099994 40.701540514000044, -73.85057342399995 40.70120842800003, -73.85055686599998 40.701046416000054, -73.85064250399995 40.70093131300007, -73.85081560099997 40.700849669000036, -73.85157208199996 40.700510601000076, -73.85191058999999 40.70045455600007, -73.85192865199997 40.70045273100004, -73.85201192999995 40.70044431900004, -73.85273905699995 40.700493538000046, -73.85302986299996 40.70054720400003, -73.85362799599994 40.700704796000025, -73.85385493099994 40.70075328200005, -73.85408135499995 40.70077426200004, -73.85437029699995 40.700710177000076, -73.85486449399997 40.70043739700003, -73.85505411699995 40.70036199900005, -73.85531609399999 40.70028073200007, -73.85553329299995 40.70023255800004, -73.85592722399997 40.70016733600005, -73.85636651999994 40.70006990200005, -73.85670586899994 40.69994621300003, -73.85689718599997 40.69980467200003, -73.85699277599997 40.69967619100004, -73.85707061099998 40.69952436600005, -73.85713431299996 40.69934186000006, -73.85725702399998 40.69895193700006, -73.85733640399997 40.69876287100004, -73.85739476299995 40.69862851000005, -73.85752424499998 40.698414823000064, -73.85774472099996 40.698145286000056, -73.85787996699997 40.698009400000046, -73.85796890399996 40.69794360100008, -73.85809689699994 40.69788322800008, -73.85831500699999 40.69783485000005, -73.85863098599998 40.69781468800005, -73.85897296799999 40.69779943700007, -73.85932098399996 40.697755716000074, -73.85957445299994 40.697686575000034, -73.86002756899995 40.697488700000065, -73.86019176899998 40.69742340700003, -73.86056284699998 40.69731494400003, -73.86078791799997 40.69726502200007, -73.86171964999994 40.697116993000066, -73.86218015099996 40.69703835900003, -73.86264232999997 40.69695634200008, -73.86293305699996 40.696877037000036, -73.86322772199998 40.696805349000044, -73.86354561299999 40.69676541200005, -73.86384865299993 40.69678958900005, -73.86414973099994 40.696841953000046, -73.86447808899999 40.69690255200004, -73.86491638899997 40.69699620200004, -73.86533526799997 40.697089540000036, -73.86580479899999 40.697186024000075, -73.86613010399998 40.697186385000066, -73.86642290399993 40.697127669000054, -73.86784204299994 40.69688533900006, -73.86812877599993 40.69685637400005, -73.86831362999999 40.696848130000035, -73.86848443199995 40.69686175600003, -73.86865486599999 40.69688904700007, -73.86887880599994 40.69693689500008, -73.86908100999995 40.697062335000055, -73.86922380999994 40.69723375800004, -73.86930252499997 40.697448319000046, -73.86929450299994 40.697718964000046, -73.86919146299994 40.69796438700007, -73.86901330999996 40.69820384500008, -73.86870881599998 40.69848150000007, -73.86852226099995 40.69869427200007, -73.86844504699997 40.698809020000056, -73.86838925599994 40.699009939000064, -73.86838553699994 40.69913538700007, -73.86837700999996 40.69921666100004, -73.86839902099996 40.69929795400003, -73.86845515399995 40.69945095800006, -73.86879866999993 40.69997510400003, -73.86890729999999 40.70019268600004, -73.86899581299997 40.70046517000003, -73.86902531699997 40.70083322600004, -73.86902091599995 40.700981684000055, -73.86898441299996 40.70118907800003, -73.86891873899998 40.701425578000055, -73.86887931399997 40.70159671600004, -73.86882120199994 40.701781364000055, -73.86884412899997 40.702005704000044, -73.86889724099996 40.70224239100003, -73.86895410699998 40.70249580500007, -73.86901075399999 40.70281396200005))",Int. No. 1449-A,03/18/2017,2017,2017/045,Street,Queens,Forest Park Memorial Drive,Forest Park Drive,Group,"Forest Park currently includes several memorials in recognition of veterans who have served in WWI, WWII and Vietnam.  Additionally, the Park contains a 9/11 memorial near the bandstand in recognition of all those who lost their lives in the attacks.  Co",Through Forest Park,11421,Crowley,,"MULTILINESTRING ((-73.83582617399998 40.71139888500005, -73.83610378299994 40.71119353900008, -73.83631835999995 40.71093126400007, -73.83665497699997 40.710663906000036, -73.83710970599998 40.71044945600005, -73.83747036899996 40.71030607100005, -73.83776809399995 40.71014646700007, -73.83810202899997 40.709920786000055, -73.83824552699997 40.70979777900004, -73.83843596399998 40.70961275900004, -73.83866124599996 40.709337393000055, -73.83875916999995 40.709191890000056, -73.83897776999999 40.70868867200005, -73.83906091799997 40.70832777600003, -73.83906896499997 40.70805634100003, -73.83906896499997 40.70805634100003, -73.83894424199997 40.70735589000003, -73.83894424199997 40.70735589000003, -73.83893083099997 40.70711291600003, -73.83896838199996 40.70675506200007, -73.83896838199996 40.70675506200007, -73.83897380799993 40.706572046000076, -73.83893227299995 40.70633877900008, -73.83879806199997 40.70610441300005, -73.83854056999996 40.70579535200005, -73.83802558599996 40.70512436000007, -73.83795470999996 40.70503201400004, -73.83784721899997 40.70473904600004, -73.83785164999995 40.70458958000006, -73.83787162599998 40.70454359000007, -73.83793036699996 40.704439129000036, -73.83798485199998 40.70438618900005, -73.83819992899998 40.704251045000035, -73.83840914199999 40.70417479400004, -73.83898977499996 40.70411614500006, -73.83917164699994 40.70409777500004, -73.83941228799995 40.70401924300006, -73.83947978199996 40.70396563000003, -73.83973415299994 40.70362375500008, -73.83999969199994 40.703185563000034, -73.84012744499995 40.70303986600004, -73.84018651699995 40.70298246900006, -73.84043555099998 40.702874456000075, -73.84058441299999 40.70284903800007, -73.84129251599995 40.70284090500007, -73.84147822299997 40.70282214700006, -73.84220044399996 40.70266196600005, -73.84265126799994 40.702628670000024, -73.84284021399998 40.702626500000065, -73.84311507699994 40.70263858200008, -73.84335647599994 40.70266095000005, -73.84380708699996 40.70269145100008, -73.84403244299995 40.70268886200006, -73.84448971399996 40.70264267300007, -73.84471765499995 40.70260493500007, -73.84516633499999 40.70253065000003, -73.84534359599996 40.70251755800007, -73.84543503899994 40.70252157800007, -73.84565781199996 40.70255724700007, -73.84585361299997 40.70262739900005, -73.84606282499993 40.70273923500008, -73.84635860699996 40.70295632600005, -73.84673471799994 40.703189630000054, -73.84701366799999 40.70332383300007, -73.84729932299996 40.70343261800008, -73.84751658199997 40.703504803000044, -73.84795914699998 40.70359935400006, -73.84814555999998 40.703622738000035, -73.84854621399995 40.70364035000006, -73.84890877799995 40.70361357300004, -73.84932170899998 40.703485486000034, -73.84964844699994 40.70334377100005, -73.84990911299997 40.70319268000003, -73.85018403899994 40.702996459000076, -73.85035125399997 40.70283398400005, -73.85049378599996 40.702671433000035, -73.85054709799994 40.702548696000065, -73.85059857699997 40.70243018100007, -73.85065476699998 40.70222783600008, -73.85072255699998 40.70188837000006, -73.85072750099994 40.701721589000044, -73.85069526099994 40.701540514000044, -73.85057342399995 40.70120842800003, -73.85055686599998 40.701046416000054, -73.85064250399995 40.70093131300007, -73.85081560099997 40.700849669000036, -73.85157208199996 40.700510601000076, -73.85191058999999 40.70045455600007, -73.85192865199997 40.70045273100004, -73.85201192999995 40.70044431900004, -73.85273905699995 40.700493538000046, -73.85302986299996 40.70054720400003, -73.85362799599994 40.700704796000025, -73.85385493099994 40.70075328200005, -73.85408135499995 40.70077426200004, -73.85437029699995 40.700710177000076, -73.85486449399997 40.70043739700003, -73.85505411699995 40.70036199900005, -73.85531609399999 40.70028073200007, -73.85553329299995 40.70023255800004, -73.85592722399997 40.70016733600005, -73.85636651999994 40.70006990200005, -73.85670586899994 40.69994621300003, -73.85689718599997 40.69980467200003, -73.85699277599997 40.69967619100004, -73.85707061099998 40.69952436600005, -73.85713431299996 40.69934186000006, -73.85725702399998 40.69895193700006, -73.85733640399997 40.69876287100004, -73.85739476299995 40.69862851000005, -73.85752424499998 40.698414823000064, -73.85774472099996 40.698145286000056, -73.85787996699997 40.698009400000046, -73.85796890399996 40.69794360100008, -73.85809689699994 40.69788322800008, -73.85831500699999 40.69783485000005, -73.85863098599998 40.69781468800005, -73.85897296799999 40.69779943700007, -73.85932098399996 40.697755716000074, -73.85957445299994 40.697686575000034, -73.86002756899995 40.697488700000065, -73.86019176899998 40.69742340700003, -73.86056284699998 40.69731494400003, -73.86078791799997 40.69726502200007, -73.86171964999994 40.697116993000066, -73.86218015099996 40.69703835900003, -73.86264232999997 40.69695634200008, -73.86293305699996 40.696877037000036, -73.86322772199998 40.696805349000044, -73.86354561299999 40.69676541200005, -73.86384865299993 40.69678958900005, -73.86414973099994 40.696841953000046, -73.86447808899999 40.69690255200004, -73.86491638899997 40.69699620200004, -73.86533526799997 40.697089540000036, -73.86580479899999 40.697186024000075, -73.86613010399998 40.697186385000066, -73.86642290399993 40.697127669000054, -73.86784204299994 40.69688533900006, -73.86812877599993 40.69685637400005, -73.86831362999999 40.696848130000035, -73.86848443199995 40.69686175600003, -73.86865486599999 40.69688904700007, -73.86887880599994 40.69693689500008, -73.86908100999995 40.697062335000055, -73.86922380999994 40.69723375800004, -73.86930252499997 40.697448319000046, -73.86929450299994 40.697718964000046, -73.86919146299994 40.69796438700007, -73.86901330999996 40.69820384500008, -73.86870881599998 40.69848150000007, -73.86852226099995 40.69869427200007, -73.86844504699997 40.698809020000056, -73.86838925599994 40.699009939000064, -73.86838553699994 40.69913538700007, -73.86837700999996 40.69921666100004, -73.86839902099996 40.69929795400003, -73.86845515399995 40.69945095800006, -73.86879866999993 40.69997510400003, -73.86890729999999 40.70019268600004, -73.86899581299997 40.70046517000003, -73.86902531699997 40.70083322600004, -73.86902091599995 40.700981684000055, -73.86898441299996 40.70118907800003, -73.86891873899998 40.701425578000055, -73.86887931399997 40.70159671600004, -73.86882120199994 40.701781364000055, -73.86884412899997 40.702005704000044, -73.86889724099996 40.70224239100003, -73.86895410699998 40.70249580500007, -73.86901075399999 40.70281396200005))",POINT (-73.85252709615425 40.70171859244158),40.70171859244158,-73.85252709615425
"MULTILINESTRING ((-73.97619426999995 40.75976232800008, -73.97478443299997 40.759168068000065))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Manhattan,Place de Cartier,52nd Street,Group,"The following information is from the McClung Museum exhibition “Cartier: The Jewler’s Art” at the University of Tennessee, Knoxville. 

Founded in 1847 in Paris by Louis-François Cartier, the firm became one of the world's greatest designers and",Between 5th Avenue and Madison Avenue,10022,Moskowitz,,"MULTILINESTRING ((-73.97619426999995 40.75976232800008, -73.97478443299997 40.759168068000065))",POINT (-73.97548935149996 40.75946519800007),40.75946519800007,-73.97548935149996
"MULTILINESTRING ((-73.90245735399998 40.741461894000054, -73.90053808399995 40.741245125000034))",Int. No.993,12/26/2001,2001,2001/071,Street,Queens,Boulevard of Bravery,Queens Boulevard,Group,Boulevard Of Bravery: This proposal is intended to honor the members of New York Fire Department Special Unit Rescue Company 4 located at 64-18 Queens Boulevard.  This unit was one of the first to respond to the terrorist attacks at the World Trade Cente,between 63rd Street and 65th Place,11377,"McCaffrey, Sabini, Wooten, Koslowitz, O’Donovan and Abel",,"MULTILINESTRING ((-73.90245735399998 40.741461894000054, -73.90053808399995 40.741245125000034))",POINT (-73.90149771899996 40.741353509500044),40.741353509500044,-73.90149771899996
"MULTILINESTRING ((-74.00365776099994 40.73224573300007, -74.00386965599995 40.73185142900007))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Manhattan,Cherry Lane,Commerce Street,Misc,Commerce Street was originally designated as “Cherry Lane” because of the abundance of cherry trees in the vicinity.  The street developed into a thriving commercial character and was thereby renamed Commerce Street.  On this street is Cherry Lane Th,Between 7th Avenue and Barrow Street,10014,Quinn,,"MULTILINESTRING ((-74.00365776099994 40.73224573300007, -74.00386965599995 40.73185142900007))",POINT (-74.00376370849995 40.73204858100007),40.73204858100007,-74.00376370849995
"MULTILINESTRING ((-73.94802111899997 40.71634521100003, -73.94648689499996 40.71649158500003))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Brooklyn,School Settlement Way,Jackson Street,Group,"School Settlement Association, Inc. finds its earliest incarnation in 1898, as a school affiliated organization called the Ridgewood Household Club.  Agnes E. Demonde, a public-school teacher, noted severe deficiencies in her student’s education and fo",Between Manhattan Avenue and Leonard Street,11211,Yassky,,"MULTILINESTRING ((-73.94802111899997 40.71634521100003, -73.94648689499996 40.71649158500003))",POINT (-73.94725400699997 40.71641839800003),40.71641839800003,-73.94725400699997
"MULTILINESTRING ((-73.95388392499996 40.72283345200003, -73.95489601199995 40.723459545000026))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Brooklyn,Banker’s Anchor Plaza,North 15th Street,Group,This co-naming will commemorate the dedicated local volunteers who worked to turn this triangle of space into a pedestrian-friendly zone. The North Brooklyn Parks Alliance is the official community partner working to maintain the area with local voluntee,Between Banker Street and Nassau Avenue,11222,Restler,,"MULTILINESTRING ((-73.95388392499996 40.72283345200003, -73.95489601199995 40.723459545000026))",POINT (-73.95438996849995 40.72314649850003),40.72314649850003,-73.95438996849995
"MULTILINESTRING ((-74.00105855499999 40.60872406300007, -74.00590116099994 40.61128229500008))",Int. No. 768,12/18/2001,2001,2001/068,Street,Brooklyn,Liberty Pole Boulevard,84th Street,Group,"This legislation was requested by the Friends of Historic New Utrecht, Inc., to name 
the street abutting the National Historic Landmark New Utrecht Liberty Pole. The Liberty 
Pole has been at this location since November 1783. It commemorates the evacua",between 16th Avenue and 18th Avenue,11214,"r Golden; also Council Members Fisher, Nelson, O’Donovan and Abel",,"MULTILINESTRING ((-74.00105855499999 40.60872406300007, -74.00590116099994 40.61128229500008))",POINT (-74.00347985799996 40.610003179000074),40.610003179000074,-74.00347985799996
"MULTILINESTRING ((-73.91369598799997 40.765488436000055, -73.91098695699998 40.76884028400008))",Int. No. 897,03/19/2023,2023,2023/044,Street,Queens,Little Egypt,Steinway Street,Group,This co-naming will commemorate the Egyptian community and recognize the contributions that have been made and they continue to make in the future.,Between Astoria Boulevard and 28th Avenue,11103,Cabán,,"MULTILINESTRING ((-73.91369598799997 40.765488436000055, -73.91098695699998 40.76884028400008))",POINT (-73.91234147249997 40.767164360000066),40.767164360000066,-73.91234147249997
"MULTILINESTRING ((-73.96443410499995 40.76720291000004, -73.96307313199998 40.76662207100003))",Int. No. 968,07/20/2024,2024,2024/081,Street,Manhattan,Yad Vashem Way,East 67th Street,Group,"This co-naming will commemorate the memorial in memory of those who perished in the Holocaust and honor the Park East Synagogue, a historic New York City landmark built in 1889.",Between 3rd Avenue and Lexington Avenue,10065,Powers,,"MULTILINESTRING ((-73.96443410499995 40.76720291000004, -73.96307313199998 40.76662207100003))",POINT (-73.96375361849996 40.76691249050003),40.76691249050003,-73.96375361849996
"MULTILINESTRING ((-73.83116365599994 40.65275735800003, -73.82793964099994 40.653243702000054))",Int. No. 1033,07/17/2009,2009,2009/046,Street,Queens,163rd Road,Burlingham Court,Misc,"This section of the bill would rename what is now called “Burlingham Court,” in Queens, “as 163rd Road” and amend the official map of the City of New York accordingly.",Between 104th and Hawtree Basin,11414,Ulrich,,"MULTILINESTRING ((-73.83116365599994 40.65275735800003, -73.82793964099994 40.653243702000054))",POINT (-73.82955164849994 40.65300053000004),40.65300053000004,-73.82955164849994
"MULTILINESTRING ((-73.79455408699994 40.767255334000026, -73.79488936299998 40.76483180500003, -73.79489022599995 40.76482556600007))",Int. No. 1188-A,12/17/2013,2013,2013/131,Street,Queens,"Jeanne, Jules, Morty Manford PFLAG Way",171st Street,Male/Female,"PFLAG promotes the health and well-being of gay, lesbian, bisexual and transgender persons through support to cope with an adverse society, education, information and advocacy to end discrimination and secure equal civil rights.  PFLAG was founded in 197",Between 33rd Avenue and 35th Avenue,11358,Dromm,,"MULTILINESTRING ((-73.79455408699994 40.767255334000026, -73.79488936299998 40.76483180500003, -73.79489022599995 40.76482556600007))",POINT (-73.79472215655677 40.76604045000791),40.76604045000791,-73.79472215655677
"MULTILINESTRING ((-73.83105832399997 40.652273484000034, -73.82781553299998 40.65275169100005))",Int. No. 1033,07/17/2009,2009,2009/046,Street,Queens,163rd Drive,James Court,Misc,"This section of the bill would rename what is now called “James Court,” in Queens, “as 163rd Drive” and amend the official map of the City of New York accordingly.",Between 104th Street and Hawtree Basin,11414,Ulrich,,"MULTILINESTRING ((-73.83105832399997 40.652273484000034, -73.82781553299998 40.65275169100005))",POINT (-73.82943692849997 40.65251258750004),40.65251258750004,-73.82943692849997
"MULTILINESTRING ((-73.93949021599997 40.82596827000003, -73.93694311099995 40.82488729800008))",Int. No. 877-A,12/29/2008,2008,2008/064,Street,Manhattan,Drs. Kenneth B. and Mamie Phipps Clark Place,150th Street,Male/Female,Drs. Kenneth B. and Mamie Phipps Clark were a husband and wife team of African-American psychologists who founded the Northside Center for Child Development in Harlem and the organization Harlem Youth Opportunities Unlimited (HARYOU).,"Between Frederick Douglass Boulevard and Adam Clayton  Powell, Jr. Boulevard",10039,Dickens,,"MULTILINESTRING ((-73.93949021599997 40.82596827000003, -73.93694311099995 40.82488729800008))",POINT (-73.93821666349996 40.825427784000055),40.825427784000055,-73.93821666349996
"MULTILINESTRING ((-74.00618756799997 40.64909514800007, -74.00572220399994 40.649541835000036))",Int. No. 1613,06/24/2017,2017,2017/110,Street,Brooklyn,Cinco de Mayo Place,5th Avenue,Group,"This co-naming will recognize the culture and heritage of the Mexican population in Brooklyn.  Cinco de Mayo commemorates the Mexican Army’s victory over French forces at the Battle of Puebla on May 5, 1862.",Between 43rd Street and 42nd Street,11232,Menchaca,,"MULTILINESTRING ((-74.00618756799997 40.64909514800007, -74.00572220399994 40.649541835000036))",POINT (-74.00595488599996 40.649318491500054),40.649318491500054,-74.00595488599996
"MULTILINESTRING ((-73.94289985899997 40.74485647200004, -73.94396201399996 40.74641304600004))",Int. No. 235,08/10/2015,2015,2015/071,Street,Queens,Court Square West,Court Square,Misc,"Int. No. 235 permanently changes the name of Court Square between Thomson Avenue and the Sunnyside Rail Yards to Court Square East and Court Square between Jackson Avenue and the Sunnyside Rail Yards to Court Square West in the borough of Queens, and ame",Between Jackson Avenue and the Sunnyside Rail Yards,11101,Van Bramer,,"MULTILINESTRING ((-73.94289985899997 40.74485647200004, -73.94396201399996 40.74641304600004))",POINT (-73.94343093649996 40.74563475900003),40.74563475900003,-73.94343093649996
"MULTILINESTRING ((-73.90834410699995 40.80669592500004, -73.90801032099995 40.80774862000004, -73.90762885199996 40.808819345000074, -73.90721525999999 40.80998021200003, -73.90703280599996 40.81023291500003, -73.90655199499997 40.81056374700006, -73.90564600399995 40.811150216000044, -73.90475015899995 40.81173011300007, -73.90424216099996 40.812058947000025, -73.90393733699995 40.812202841000044, -73.90326976499995 40.81238629600006, -73.90220714599997 40.81267831400004, -73.90112002399997 40.81299981700005, -73.90025141799998 40.81323851600007, -73.89950598099995 40.81344336600006, -73.89899973999997 40.813626860000056, -73.89853318199994 40.81408850100007, -73.89748385199994 40.815126761000045, -73.89613707499996 40.81639813600003, -73.89508063999995 40.81744339000005, -73.89401873799994 40.81844580600006, -73.89301292899995 40.81944093900006, -73.89198582199998 40.82045713000008, -73.89168964199996 40.82085955400004, -73.89161904299993 40.82123668100007, -73.89167069999996 40.821829071000025, -73.89175991599996 40.822852160000025, -73.89185954099997 40.823994595000045, -73.89192366199995 40.82472987500006, -73.89191706599996 40.82519085500007, -73.89190235499996 40.82621904900003, -73.89187993799999 40.82778580100006, -73.89185804199997 40.829316049000056, -73.89184621099997 40.830142919000025, -73.89177736799996 40.830510608000054, -73.89152367599996 40.831075070000054, -73.89125744199998 40.83153508100003, -73.89038323999995 40.83298124000004, -73.88967537599996 40.83415221000007, -73.88912261499996 40.835107246000064, -73.88871387599994 40.83578337500006, -73.88860136899996 40.835977756000034, -73.88834169199998 40.83639903000005, -73.88782123499993 40.83721928500006, -73.88726847399994 40.838174277000064, -73.88652645899998 40.839456218000066, -73.88631038299997 40.83979674600005, -73.88609826599998 40.84046539000008, -73.88604225399996 40.840764507000074, -73.88579198499997 40.84210097400006, -73.88558026399994 40.843231572000036, -73.88537311799996 40.84433771500005, -73.88519002199996 40.84516580600007, -73.88425501299997 40.84627548000003, -73.88351474699994 40.847154018000026, -73.88330533199996 40.847493694000036, -73.88308763099997 40.848324809000076, -73.88301408599995 40.84855661300003, -73.88265134199997 40.84994142800008, -73.88213793099999 40.85171831200006, -73.88182890099995 40.85278782100005, -73.88142730099997 40.85417768100007, -73.88107167099997 40.85553522200007, -73.88071397999994 40.85677307200007))",Int. No. 1045-A,07/01/2013,2013,2013/050,Street,Bronx,La 65 de Infantería,Southern Boulevard,Group,"This co-naming will commemorate the 65th Infantry Regiment, a regiment of the United States Army, based in Puerto Rico, that fought in World War I, World War II, the Korean War and continues to serve in the War Against Terrorism and Operation Iraqi Freed",Between Bruckner Boulevard and East Fordham Road,10459,"Arroyo, Cabrera and Rivera",,"MULTILINESTRING ((-73.90834410699995 40.80669592500004, -73.90801032099995 40.80774862000004, -73.90762885199996 40.808819345000074, -73.90721525999999 40.80998021200003, -73.90703280599996 40.81023291500003, -73.90655199499997 40.81056374700006, -73.90564600399995 40.811150216000044, -73.90475015899995 40.81173011300007, -73.90424216099996 40.812058947000025, -73.90393733699995 40.812202841000044, -73.90326976499995 40.81238629600006, -73.90220714599997 40.81267831400004, -73.90112002399997 40.81299981700005, -73.90025141799998 40.81323851600007, -73.89950598099995 40.81344336600006, -73.89899973999997 40.813626860000056, -73.89853318199994 40.81408850100007, -73.89748385199994 40.815126761000045, -73.89613707499996 40.81639813600003, -73.89508063999995 40.81744339000005, -73.89401873799994 40.81844580600006, -73.89301292899995 40.81944093900006, -73.89198582199998 40.82045713000008, -73.89168964199996 40.82085955400004, -73.89161904299993 40.82123668100007, -73.89167069999996 40.821829071000025, -73.89175991599996 40.822852160000025, -73.89185954099997 40.823994595000045, -73.89192366199995 40.82472987500006, -73.89191706599996 40.82519085500007, -73.89190235499996 40.82621904900003, -73.89187993799999 40.82778580100006, -73.89185804199997 40.829316049000056, -73.89184621099997 40.830142919000025, -73.89177736799996 40.830510608000054, -73.89152367599996 40.831075070000054, -73.89125744199998 40.83153508100003, -73.89038323999995 40.83298124000004, -73.88967537599996 40.83415221000007, -73.88912261499996 40.835107246000064, -73.88871387599994 40.83578337500006, -73.88860136899996 40.835977756000034, -73.88834169199998 40.83639903000005, -73.88782123499993 40.83721928500006, -73.88726847399994 40.838174277000064, -73.88652645899998 40.839456218000066, -73.88631038299997 40.83979674600005, -73.88609826599998 40.84046539000008, -73.88604225399996 40.840764507000074, -73.88579198499997 40.84210097400006, -73.88558026399994 40.843231572000036, -73.88537311799996 40.84433771500005, -73.88519002199996 40.84516580600007, -73.88425501299997 40.84627548000003, -73.88351474699994 40.847154018000026, -73.88330533199996 40.847493694000036, -73.88308763099997 40.848324809000076, -73.88301408599995 40.84855661300003, -73.88265134199997 40.84994142800008, -73.88213793099999 40.85171831200006, -73.88182890099995 40.85278782100005, -73.88142730099997 40.85417768100007, -73.88107167099997 40.85553522200007, -73.88071397999994 40.85677307200007))",POINT (-73.8920771720396 40.82959045811761),40.82959045811761,-73.8920771720396
"MULTILINESTRING ((-73.98264309299998 40.57677677200007, -73.98241564199998 40.57564895100006))",Int. No. 556-A,06/14/2007,2007,2007/028,Street,Brooklyn,Gargiulo’s Way,West 15th Street,Group,"Celebrating its 100th anniversary this year, Garguilo’s Restaurant has provided the community with a sophisticated and welcoming place to celebrate special occasions.",Between Surf Avenue and Mermaid Avenue,11224,"Recchia, Jr.",,"MULTILINESTRING ((-73.98264309299998 40.57677677200007, -73.98241564199998 40.57564895100006))",POINT (-73.98252936749998 40.57621286150007),40.57621286150007,-73.98252936749998
"MULTILINESTRING ((-73.97983229399995 40.74315992700008, -73.97785233599996 40.74233227900004))",Int. No. 565,10/20/2003,2003,2003/062,Street,Manhattan,Big Brothers and Big Sisters Boulevard,30th Street,Group,"Big Brothers and Big Sisters of New York City (BBBSNYC) was founded in 1904, by Ernest Coulter, as the first formalized mentoring program in the United States. BBBSNYC provides youth, ranging in age from 7 to 18 years old, with one-on-one volunteers. The",between 2nd Avenue and 3rd Avenue,10016,Lopez,,"MULTILINESTRING ((-73.97983229399995 40.74315992700008, -73.97785233599996 40.74233227900004))",POINT (-73.97884231499995 40.74274610300006),40.74274610300006,-73.97884231499995
"MULTILINESTRING ((-73.79647195099994 40.713475075000076, -73.79566192299995 40.71185673700006))",Int. No. 1300,01/20/2019,2019,2019/024,Street,Queens,JMC Way,168th Street,Group,"The Jamaica Muslim Center (JMC) is a community institution founded in the 1980’s, and is the largest mosque in the area, serving a largely South Asian population of worshipers. Not only does JMC host required Muslim prayers five times a day, but also o",Between Highland Avenue and Gothic Drive,11432,Lancman,,"MULTILINESTRING ((-73.79647195099994 40.713475075000076, -73.79566192299995 40.71185673700006))",POINT (-73.79606693699995 40.71266590600007),40.71266590600007,-73.79606693699995
"MULTILINESTRING ((-73.80292527199998 40.753715879000026, -73.80189411099997 40.75373168200008))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Queens,Olde Towne Burial Ground Lane,46th Avenue,Group,"The Town of Flushing purchased the site as a public burial ground in 1840. Over 1,000 individuals were buried there, the majority of whom were African-American or Native American. The last burial occurred in 1898, the same year that the City of New York",Between 164th Street and 165th Street,11358,Ung,,"MULTILINESTRING ((-73.80292527199998 40.753715879000026, -73.80189411099997 40.75373168200008))",POINT (-73.80240969149997 40.75372378050005),40.75372378050005,-73.80240969149997
