Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes,geometry,centroid,latitude,longitude,pct_male_named_streets,pct_male_pop
"MULTILINESTRING ((-74.02139738899996 40.632532499000035, -74.02173266499994 40.63173660000007))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Brooklyn,Dr. Ahmad Jaber Way,5th Avenue,Male,"Dr. Ahmad Jaber was born in the Palestinian village of Yamoun. He immigrated to the United States in 1974, and began his medical residency at Lutheran Medical Center in Sunset Park, Brooklyn, where he was affiliated for his entire career. He became a boa",Between 72nd Street and Ovington Avenue,11209,Brannan,,"MULTILINESTRING ((-74.02139738899996 40.632532499000035, -74.02173266499994 40.63173660000007))",POINT (-74.02156502699995 40.63213454950005),40.63213454950005,-74.02156502699995,66.3%,48%
"MULTILINESTRING ((-73.93759268999997 40.79276351000004, -73.93556493999995 40.791859869000064))",Int. No. 590-A,07/11/2011,2011,2011/047,Street,Manhattan,Philip Reed Way,East 111th Street,Male,Phillip Reed was the first openly gay black member of the New York City Council who represented East Harlem and Manhattan Valley and parts of the Upper West Side and the South Bronx.  He was involved in the Stonewall riots and later spent 10 years in San,Between 1st Avenue and FDR Drive,10029,Mark-Viverito,,"MULTILINESTRING ((-73.93759268999997 40.79276351000004, -73.93556493999995 40.791859869000064))",POINT (-73.93657881499996 40.79231168950005),40.79231168950005,-73.93657881499996,53.4%,48%
"MULTILINESTRING ((-73.74582765299994 40.67403918600007, -73.74253390099994 40.67284912900004))",Int. No. 931-A,04/20/2009,2009,2009/025,Street,Queens,Michael A. Clarke Avenue,137th Avenue,Male,Michael A. Clarke was very active in his community and also in the First Presbyterian Church.  He will be most remembered for his artistic talents involving his camera coverage at Ground Zero in 2001 and the crash of American Airlines Flight 587 in Belle,Between 226th Street and 230th Street,11413,"Sanders, Jr.",,"MULTILINESTRING ((-73.74582765299994 40.67403918600007, -73.74253390099994 40.67284912900004))",POINT (-73.74418077699995 40.67344415750006),40.67344415750006,-73.74418077699995,63.1%,49%
"MULTILINESTRING ((-73.81991623399995 40.723441974000025, -73.81899702899995 40.72371714600007, -73.81817659199999 40.723962751000045))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,Michael Simanowitz Way,75th Avenue,Male,"Michael Simanowitz served on the New York City Police Department Auxiliary Police’s 107th Precinct Auxiliary Unit for over 20 years, achieving the rank of Auxiliary Deputy Inspector. He was elected to the Assembly in 2011, representing District 27. He",Between Main Street and 147th Street,11367,Gennaro,,"MULTILINESTRING ((-73.81991623399995 40.723441974000025, -73.81899702899995 40.72371714600007, -73.81817659199999 40.723962751000045))",POINT (-73.81904641299573 40.72370236248584),40.72370236248584,-73.81904641299573,63.1%,49%
"MULTILINESTRING ((-73.98435496499997 40.68755488700003, -73.98230933299999 40.686760323000044))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Brooklyn,Firefighter Peter A. Chiodo Way,State Street,Male,Peter A. Chiodo served with the FDNY for 25 years with Engine Company 226. He died as a result of 9/11 related illness.,Between Bond Street and Nevins Street,11217,Restler,,"MULTILINESTRING ((-73.98435496499997 40.68755488700003, -73.98230933299999 40.686760323000044))",POINT (-73.98333214899998 40.68715760500004),40.68715760500004,-73.98333214899998,66.3%,48%
"MULTILINESTRING ((-73.99133868899997 40.68137247200008, -73.99169005799996 40.68085989100007))",Int. No. 2187,01/17/2021,2021,2021/014,Street,Brooklyn,Firefighter John “Jack” Toomey Way,Hoyt Street,Male,John Toomey was assigned to Brooklyn’s Ladder Company 123. He died in the line of duty when he suffered a heart attack while fighting a fire in a building on Crown Street.,Between Sackett Street and Union Street,11231,Levin and Lander,,"MULTILINESTRING ((-73.99133868899997 40.68137247200008, -73.99169005799996 40.68085989100007))",POINT (-73.99151437349997 40.68111618150007),40.68111618150007,-73.99151437349997,66.3%,48%
"MULTILINESTRING ((-73.94732788599998 40.68660469800005, -73.94030208299995 40.68740993000006, -73.93327310999996 40.688215515000024))",Int. No. 556-A,06/14/2007,2007,2007/028,Street,Brooklyn,Bro. George Washington Way “Legendary Boxing Trainer”,Gates Avenue,Male,"George Washington was raised in Birmingham, Alabama where he attended Parker High School before moving to Brooklyn, New York. He joined the Marine Corps and became a member of the United States Marine Corps Boxing Team. His record in 114 professional fig",From Marcy Avenue to Stuyvesant Avenue,11216,Vann,,"MULTILINESTRING ((-73.94732788599998 40.68660469800005, -73.94030208299995 40.68740993000006, -73.93327310999996 40.688215515000024))",POINT (-73.94030049829165 40.68741010904499),40.68741010904499,-73.94030049829165,66.3%,48%
"MULTILINESTRING ((-73.98307650099997 40.69612736000005, -73.98226647399997 40.696111091000034))",Int. No. 897,03/19/2023,2023,2023/044,Street,Brooklyn,FDNY Deputy Chief Vinny Mandala Way,Tillary Street,Male,"Chief Mandala was the assigned Deputy Chief of Brooklyn’s 11th Division for over 20 years. Division 11 covers the west part of Brooklyn, from Red Hook, Brooklyn Heights, Greenpoint, Park Slope, Borough Park, and Bedford Stuyvesant. Chief Mandala was De",Between Prince Street and Gold Street,11201,Restler,,"MULTILINESTRING ((-73.98307650099997 40.69612736000005, -73.98226647399997 40.696111091000034))",POINT (-73.98267148749997 40.69611922550004),40.69611922550004,-73.98267148749997,66.3%,48%
"MULTILINESTRING ((-73.83951260399994 40.840915032000055, -73.83789791399994 40.84051731400007, -73.83702887899994 40.83985579900008))",Int. No.  1631,08/23/2019,2019,2019/158,Street,Bronx,Robert Leder Way,East Tremont Avenue,Male,"Robert Leder was the principal of Herbert H Lehman High School for 29 years. Students attributed the leadership of former principal Robert Leder to making the 4,000-student school a coveted destination for kids all over the Bronx. Teachers and staff at L",Between Ericson Place and Little League Place,10461,Gjonaj,,"MULTILINESTRING ((-73.83951260399994 40.840915032000055, -73.83789791399994 40.84051731400007, -73.83702887899994 40.83985579900008))",POINT (-73.83821296793572 40.840506225867905),40.840506225867905,-73.83821296793572,64.7%,47%
"MULTILINESTRING ((-73.91386929699996 40.656738920000066, -73.91594264499997 40.655389838000076, -73.91983472799996 40.65285726900004))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Brooklyn,Bob Marley Boulevard,Church Avenue,Male,"Bob Marley was a reggae international superstar born in Jamaica. His career spanned over forty years. In 1964, he was the founding member of a group called the Wailing Wailers and his musical talents landing him on top of the Jamaican charts. By the year",Between East 98th Street and Remsen Avenue,11236,Barron,,"MULTILINESTRING ((-73.91386929699996 40.656738920000066, -73.91594264499997 40.655389838000076, -73.91983472799996 40.65285726900004))",POINT (-73.91685201854436 40.654798103789304),40.654798103789304,-73.91685201854436,66.3%,48%
"MULTILINESTRING ((-73.89986334099996 40.74639350600006, -73.90002427299999 40.74601249400007))",Int. No. 968,07/20/2024,2024,2024/081,Street,Queens,"Dr Marcelo Arboleda, Ecuador News Pl",64th Street,Male,"Dr. Edgar Marcelo Arboleda Segovia was the founder of Ecuador News media outlet and became one of the leading voices of the Ecuadorian community in the United States for over two decades. As a young man, having graduated with honors from the Patrice Lumu",Between 39th Avenue and Roosevelt Avenue,11377,Won,,"MULTILINESTRING ((-73.89986334099996 40.74639350600006, -73.90002427299999 40.74601249400007))",POINT (-73.89994380699997 40.746203000000065),40.746203000000065,-73.89994380699997,63.1%,49%
"MULTILINESTRING ((-73.95944456699993 40.66623208500005, -73.95701865799998 40.66573023800004))",Int. No. 1054,02/25/2016,2016,2016/023,Street,Brooklyn,Dr. Derrick E. Griffith Way,Montgomery Street,Male,"Dr. Derrick E. Griffith served as the Acting Dean of Student Affairs and Enrollment Management at Medgar Evers College and prior to this position, he served as the Assistant Provost for Student Success in the Office of Academic Affairs.  He oversaw and m",Between Bedford Avenue and Franklin Avenue,11225,Cumbo,,"MULTILINESTRING ((-73.95944456699993 40.66623208500005, -73.95701865799998 40.66573023800004))",POINT (-73.95823161249996 40.66598116150004),40.66598116150004,-73.95823161249996,66.3%,48%
"MULTILINESTRING ((-73.92817944099994 40.818796322000026, -73.92781730699994 40.81870289300008, -73.92747133799998 40.81861363500008))",Int. No. 1613,06/24/2017,2017,2017/110,Street,Bronx,Ramon J. Jimenez Corner,East 149th Street,Male,"Ramon J. Jimenez was a community activist, who for decades led the fight to save Hostos Community College in the South Bronx, spoke out against police brutality and led a campaign to remove the leadership that had mismanaged the National Puerto Rican Day",Between Walton Avenue and the Grand Concourse,10451,Salamanca,,"MULTILINESTRING ((-73.92817944099994 40.818796322000026, -73.92781730699994 40.81870289300008, -73.92747133799998 40.81861363500008))",POINT (-73.9278253895309 40.81870497838015),40.81870497838015,-73.9278253895309,64.7%,47%
"MULTILINESTRING ((-73.97071553999996 40.581974073000026, -73.96769134999994 40.58158702800006))",Int. No. 1227,08/03/2016,2016,2016/092,Street,Brooklyn,Captain Michael E. Berdy Way,West Avenue,Male,"Michael E. Berdy attended Infantry Officer’s Basic School, Airborne School and Ranger School.  In June 1965, he was commissioned as an infantry second lieutenant and assigned to the 82nd Airborne Division where he was deployed to the Dominican Republic",345 feet east of the northeast corner of West Avenue and West 5th Street,11224,Treyger,,"MULTILINESTRING ((-73.97071553999996 40.581974073000026, -73.96769134999994 40.58158702800006))",POINT (-73.96920344499995 40.58178055050004),40.58178055050004,-73.96920344499995,66.3%,48%
"MULTILINESTRING ((-73.86824409199994 40.66845765200003, -73.86791417999996 40.66712101300004, -73.86753575599994 40.66558779400003, -73.86717120799995 40.66401429300004, -73.86676028199997 40.662349307000056, -73.86668304599993 40.662195360000055, -73.86581669299994 40.66076703500005))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Brooklyn,Bishop Clarence V. Keaton Blvd.,Crescent Street,Male,"Clarence V. Keaton grew up in Brooklyn where as a young man was a gang leader in the streets. However, changed his life and became a Pastor with more than thirty years in ministry.  There is no apparent record of any specific actions he took as part of a",Between Flatlands Avenue and Linden Boulevard,11208,Barron,,"MULTILINESTRING ((-73.86824409199994 40.66845765200003, -73.86791417999996 40.66712101300004, -73.86753575599994 40.66558779400003, -73.86717120799995 40.66401429300004, -73.86676028199997 40.662349307000056, -73.86668304599993 40.662195360000055, -73.86581669299994 40.66076703500005))",POINT (-73.86722656611306 40.66453149621231),40.66453149621231,-73.86722656611306,66.3%,48%
"MULTILINESTRING ((-73.90050427699998 40.83360580900006, -73.89816479499996 40.832769244000076))",Int. No. 987,12/18/2001,2001,2001/068,Street,Bronx,Bishop J. Arthur Jones Place,Jefferson Place,Male,"The following biographical information was provided by Bronx Community Board No. 3 and by Council Member Foster. 

Bishop J. Arthur Jones began to teach Sunday School at the age of 14.  By the time he was 18 he felt his call to the Ministry and, after se",between Boston Road and Franklin Avenue,10456,Foster,,"MULTILINESTRING ((-73.90050427699998 40.83360580900006, -73.89816479499996 40.832769244000076))",POINT (-73.89933453599997 40.83318752650007),40.83318752650007,-73.89933453599997,64.7%,47%
"MULTILINESTRING ((-73.99168994699994 40.718571921000034, -73.99104621599997 40.71837992400003))",Int. No. 1227,08/03/2016,2016,2016/092,Street,Manhattan,Hy Genee Way,Broome Street,Male,"Hy Genee was the president and spiritual leader of Kehila Kedosha Janina Synagogue, which is the only Greek Jewish Romaniote synagogue in the Western Hemisphere.  He was born on the Lower East Side, on Orchard Street, and lived his entire life within the",Between Allen Street and Eldridge Street,10002,Chin,,"MULTILINESTRING ((-73.99168994699994 40.718571921000034, -73.99104621599997 40.71837992400003))",POINT (-73.99136808149996 40.71847592250003),40.71847592250003,-73.99136808149996,53.4%,48%
"MULTILINESTRING ((-73.93074474899998 40.698907131000055, -73.93055103399996 40.69879867700007, -73.93043778499998 40.69870603900006, -73.92999060299996 40.69829023600005))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Brooklyn,Eric Lopez Place,Evergreen Avenue,Male,"Eric Lopez  was born in Manhattan on February 4, 1914 to Vito and Josephine Lopez.  He was raised in Brooklyn along with his five brothers and two sisters.  Eric's father died at the young age of thirty-six and afterward he and his brothers worked very h",between Troutman Street and Willoughby Avenue,11206,Reyna,,"MULTILINESTRING ((-73.93074474899998 40.698907131000055, -73.93055103399996 40.69879867700007, -73.93043778499998 40.69870603900006, -73.92999060299996 40.69829023600005))",POINT (-73.93035442987112 40.69861658797613),40.69861658797613,-73.93035442987112,66.3%,48%
"MULTILINESTRING ((-73.92027474799994 40.82201877700004, -73.91570605199996 40.82085504600008))",Int. No. 457,12/05/2006,2006,2006/050,Street,Bronx,Rev. Grady H. Donald Boulevard,East 156th Street,Male,"Rev. Grady H. Donald is remembered for his commitment to civil rights and religious convictions throughout his life. Through his leadership, the Victory Baptist Church collaborated with other community based organizations and the City to build partnershi",Between Morris Avenue and Melrose Avenue,10451,Arroyo,,"MULTILINESTRING ((-73.92027474799994 40.82201877700004, -73.91570605199996 40.82085504600008))",POINT (-73.91799039999995 40.82143691150006),40.82143691150006,-73.91799039999995,64.7%,47%
"MULTILINESTRING ((-73.93662751399995 40.80234027900008, -73.93465877199998 40.80151392300007))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Manhattan,Detective Omar Edwards Way,East 123rd Street,Male,"Omar Edwards graduated from the Police Academy in July 2007 and was assigned to the 25th Precinct ant-crime team.  In 2009, Detective Edwards was fatally shot in a friendly fire incident while he was in plainclothes chasing a man who had just broken into",Between Second Avenue and Third Avenue,10035,Mark-Viverito,,"MULTILINESTRING ((-73.93662751399995 40.80234027900008, -73.93465877199998 40.80151392300007))",POINT (-73.93564314299996 40.801927101000075),40.801927101000075,-73.93564314299996,53.4%,48%
"MULTILINESTRING ((-73.88770896699998 40.85688490000007, -73.88693112599998 40.85778968400007, -73.88693765599999 40.85778214700008))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Bronx,Miguel Carino Way,Hoffman Street,Male,"Miguel Cariño Soriano was born on February 5, 1937 in the first secton of San Fransisco, Guadalupe Santa Ana, a state of Mexico.  He is the son of Mexican parents, Faustino Cariño and Avelina Soriano of the Catholic religion and rural origin. He is sur",Between East 188th Street and East 189th Street,10458,Rivera,,"MULTILINESTRING ((-73.88770896699998 40.85688490000007, -73.88693112599998 40.85778968400007, -73.88693765599999 40.85778214700008))",POINT (-73.8873168499866 40.857341010424975),40.857341010424975,-73.8873168499866,64.7%,47%
"MULTILINESTRING ((-73.88720345399997 40.72131154300007, -73.88518106799995 40.72226696400003))",Int. No. 849,08/10/2015,2015,2015/076,Street,Queens,Bishop Joseph M. Sullivan Way,71st Street,Male,"Joseph Martin Sullivan was born in Bay Ridge, Brooklyn.  In 1948, after graduating from St. Michael’s Diocesan High School, he spent a season playing minor league baseball with the Americus Phillies in Georgia.  He returned to New York and enrolled in",Between Eliot Avenue on the north and the railroad on the south,11379,Crowley,,"MULTILINESTRING ((-73.88720345399997 40.72131154300007, -73.88518106799995 40.72226696400003))",POINT (-73.88619226099996 40.72178925350005),40.72178925350005,-73.88619226099996,63.1%,49%
"MULTILINESTRING ((-73.95734121799995 40.809428525000044, -73.95863016799996 40.80997553000003))",Int. No. 620,02/05/2015,2015,2015/015,Street,Manhattan,George Carlin Way,400 block of 121st Street,Male,"George Carlin was a five-time Grammy Award winning American comedian, writer, social critic and actor.  He performed 14 stand-up comedy specials for HBO, wrote three best-selling books and released 23 comedy albums.  He was born in Manhattan and dropped",Between Morningside Drive and Amsterdam Avenue,10027,Levine,,"MULTILINESTRING ((-73.95734121799995 40.809428525000044, -73.95863016799996 40.80997553000003))",POINT (-73.95798569299996 40.80970202750004),40.80970202750004,-73.95798569299996,53.4%,48%
"MULTILINESTRING ((-73.94778603499998 40.63409741100003, -73.95095908799993 40.66379463900006, -73.95104729899998 40.66462003200007, -73.95098859199999 40.664740712000025, -73.95052859299994 40.66959599000006))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Brooklyn,Toussaint Louverture Boulevard,Nostrand Avenue,Male,"Toussaint Louverture, originally François Dominique, a Haitian general, now known as “the Precursor.” Born of slave parents near Cap-Français, Saint-Domingue (now Cap-Haïtien, Haiti), Toussaint was self-educated. He acted as physician to the insur",between Glenwood Road and Eastern Parkway,11226,Clarke,,"MULTILINESTRING ((-73.94778603499998 40.63409741100003, -73.95095908799993 40.66379463900006, -73.95104729899998 40.66462003200007, -73.95098859199999 40.664740712000025, -73.95052859299994 40.66959599000006))",POINT (-73.94960595989481 40.651848785321),40.651848785321,-73.94960595989481,66.3%,48%
"MULTILINESTRING ((-73.95606479399999 40.59202642200006, -73.95568284699993 40.59007435600006))",Int. No. 613,05/09/2005,2005,2005/043,Street,Brooklyn,Roland Hill Way,East 14th Street,Male,Roland Hill was a long-time member of Community Board 15 in Brooklyn.  His desire to aid and work for the betterment of his community is a matter of public record.  Roland Hill served on the Community Board since 1985 and was an active elder in the Homec,Between Avenue X and Avenue Y,11229,Nelson,,"MULTILINESTRING ((-73.95606479399999 40.59202642200006, -73.95568284699993 40.59007435600006))",POINT (-73.95587382049996 40.59105038900006),40.59105038900006,-73.95587382049996,66.3%,48%
"MULTILINESTRING ((-73.91849152699996 40.848418432000074, -73.91748730799998 40.84921701700006))",Int. No.  1631,08/23/2019,2019,2019/158,Street,Bronx,Stan Lee Way,University Avenue,Male,"Stan Lee was an American comic book writer, editor, publisher and producer. He co-created numerous fictional characters such as Spider-Man, the X-Men, Iron Man, Thor, the Hulk, the Fantastic Four, Black Panther, Daredevil, Doctor Strange, Scarlet Witch a",Between Brandt Place and West 176th Street,10453,Cabrera,,"MULTILINESTRING ((-73.91849152699996 40.848418432000074, -73.91748730799998 40.84921701700006))",POINT (-73.91798941749997 40.848817724500066),40.848817724500066,-73.91798941749997,64.7%,47%
"MULTILINESTRING ((-73.88497745699993 40.717090324000026, -73.88498818499994 40.71624935300008))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,Patrolman John J. Madden Way,70th Street,Male,John J. Madden served with the NYPD for 19 years and was assigned to the 104 Precinct. He died in the line of duty after suffering a heart attack while pursuing several suspects on foot.,Between Juniper Boulevard South and Penelope Avenue,11379,Holden,,"MULTILINESTRING ((-73.88497745699993 40.717090324000026, -73.88498818499994 40.71624935300008))",POINT (-73.88498282099994 40.71666983850006),40.71666983850006,-73.88498282099994,63.1%,49%
"MULTILINESTRING ((-73.76558866499994 40.67472614500008, -73.76577105499996 40.674685460000035))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Queens,Alex Pauline Road,134th Road,Male,"Alex Pauline was a well-known figure in the lives of many in Rochdale Village. As a child of “Circle 4”, he grew up playing basketball in South Rochdale Playground with his brothers and friends. This playground and the adjacent school, PS80Q meant ev",Between Bedell Street and 176th Street,11434,Adams,,"MULTILINESTRING ((-73.76558866499994 40.67472614500008, -73.76577105499996 40.674685460000035))",POINT (-73.76567985999995 40.67470580250006),40.67470580250006,-73.76567985999995,63.1%,49%
"MULTILINESTRING ((-73.95738152699994 40.80946021500006, -73.96135119699994 40.81111475000006))",Int. No. 388,07/09/2014,2014,2014/034,Street,Manhattan,George Carlin Way,West 121st Street,Male,"George Carlin was a five-time Grammy Award winning American comedian, writer, social critic and actor.  He performed 14 stand-up comedy specials for HBO, wrote three best-selling books and released 23 comedy albums.  He was born in Manhattan and dropped",Between Broadway and Morningside Drive,10027,Levine,,"MULTILINESTRING ((-73.95738152699994 40.80946021500006, -73.96135119699994 40.81111475000006))",POINT (-73.95936636199994 40.81028748250006),40.81028748250006,-73.95936636199994,53.4%,48%
"MULTILINESTRING ((-73.92371393499997 40.688563275000035, -73.92131872199997 40.688837841000066))",Int. No. 1449-A,03/18/2017,2017,2017/045,Street,Brooklyn,John Lewis Steptoe Place,Monroe Street,Male,"John Steptoe was an award-winning author of children’s books.  He began drawing as a young child and received his formal art training at the High School of Art and Design in Manhattan.  In 1969, at the age of 18, his first book ‘Stevie,’ a story ba",Between Ralph Avenue and Howard Avenue,11221,Mealy,,"MULTILINESTRING ((-73.92371393499997 40.688563275000035, -73.92131872199997 40.688837841000066))",POINT (-73.92251632849997 40.68870055800005),40.68870055800005,-73.92251632849997,66.3%,48%
"MULTILINESTRING ((-73.89294212399994 40.82386878600005, -73.89284019999997 40.82114488800005))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Bronx,Police Officer Deon L. Taylor Way,Simpson Street,Male,"Police Officer Deon Taylor was a lifelong resident of the Bronx until his death while serving his second military tour in Afghanistan.  He was admired both as a City Police Officer and as a soldier in the United States Army.  In 2005, he joined the NYPD",Between East 163rd Street and Westchester Avenue,10459,Arroyo,,"MULTILINESTRING ((-73.89294212399994 40.82386878600005, -73.89284019999997 40.82114488800005))",POINT (-73.89289116199996 40.82250683700005),40.82250683700005,-73.89289116199996,64.7%,47%
"MULTILINESTRING ((-73.94625329099995 40.705534932000035, -73.94608331099994 40.70451225000005, -73.94591533299996 40.703501595000034))",Int. No. 849,08/10/2015,2015,2015/076,Street,Brooklyn,Mitchell-Lama Way,Leonard Street,Male,"MacNeil Mitchell, (July 18, 1904 – December 17, 1996) was a New York state senator who sponsored legislation that helped to create 150,000 units of middle-income housing around the state of New York.  During his 27 years in the Legislature, he was cons",Between Boerum Street and Moore Street,11206,Reynoso,,"MULTILINESTRING ((-73.94625329099995 40.705534932000035, -73.94608331099994 40.70451225000005, -73.94591533299996 40.703501595000034))",POINT (-73.94608431126775 40.70451826362174),40.70451826362174,-73.94608431126775,66.3%,48%
"MULTILINESTRING ((-73.77992171499994 40.59530572600005, -73.77971786699999 40.593379011000025))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Queens,Stephen Cooper Way,Beach 46th Street,Male,"Stephen Cooper died due to complications related to COVID-19. He lived at 321 Beach 46th, Street, Far Rockaway, NY for over 50 years and was very devoted to his neighbors in Edgemere. He was an active member of Community Board 14 for over 35 years and he",Between Rockaway Beach Boulevard and Beach Channel Drive,11691,Brooks-Powers,,"MULTILINESTRING ((-73.77992171499994 40.59530572600005, -73.77971786699999 40.593379011000025))",POINT (-73.77981979099997 40.59434236850004),40.59434236850004,-73.77981979099997,63.1%,49%
"MULTILINESTRING ((-73.92401995799997 40.75825142200006, -73.92225506399996 40.76042123700006))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Queens,Saviour “Sammy” Borg Way,35th Street,Male,"Saviour “Sammy” Borg volunteered around his community. He was very involved in Police Precinct 114 Council meetings and Block Watcher meetings. He volunteered to clean and close Sean’s Place, a park on 38th Street every evening.",Between 34th Avenue and Broadway,11106,Cabán,,"MULTILINESTRING ((-73.92401995799997 40.75825142200006, -73.92225506399996 40.76042123700006))",POINT (-73.92313751099996 40.75933632950006),40.75933632950006,-73.92313751099996,63.1%,49%
"MULTILINESTRING ((-73.98647955299998 40.68436468400006, -73.98447057899995 40.68358771000004))",Int. No. 1613,06/24/2017,2017,2017/110,Street,Brooklyn,Leslie Lewis Way,Wyckoff Street,Male,Leslie Lewis was supportive of the local police and spent most of his time working with the 84th Precinct to lower crime.  The United States Congress recognized him in 2012 for his public safety efforts.  He was a WWII veteran and later volunteered as pr,Between Bond Street and Nevins Street,11217,Levin,,"MULTILINESTRING ((-73.98647955299998 40.68436468400006, -73.98447057899995 40.68358771000004))",POINT (-73.98547506599996 40.68397619700005),40.68397619700005,-73.98547506599996,66.3%,48%
"MULTILINESTRING ((-73.94722254599998 40.700038783000025, -73.94670994699999 40.69747655700007, -73.94636295599997 40.69574207000005, -73.94330622299998 40.68030936100007, -73.94327289999995 40.68009858000005))",Int. No. 1004,12/26/2001,2001,2001/071,Street,Brooklyn,Detective David Allen Way,Tompkins Avenue,Male,"The following biographical material was submitted by the Allen family. 

David Carl Allen was born to Deacon Cleveland and Eloise Allen on January 5, 1958 in Cumberland Hospital, Brooklyn, New York. He attended Public School 47, Brooklyn Academy Junior H",between Flushing Avenue and Fulton Street,11216,"Robinson, Golden, Nelson and Abel",,"MULTILINESTRING ((-73.94722254599998 40.700038783000025, -73.94670994699999 40.69747655700007, -73.94636295599997 40.69574207000005, -73.94330622299998 40.68030936100007, -73.94327289999995 40.68009858000005))",POINT (-73.94524047051347 40.69007004043233),40.69007004043233,-73.94524047051347,66.3%,48%
