Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes,geometry,centroid,latitude,longitude,pct_female_named_streets,pct_female_pop
"MULTILINESTRING ((-73.96674922399995 40.688115382000035, -73.96483949099996 40.68833096800006))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Brooklyn,S. Anesta Samuel Avenue,Lafayette Avenue,Female,"Ms. Samuel was a well-known and well-loved community activist and philanthropist. Originally from Panama, she started a very successful line of women’s beauty products and became one of Panama’s leading businesswomen. When she moved to New York, she",Between Waverly Avenue and St. James Place,11238,James,,"MULTILINESTRING ((-73.96674922399995 40.688115382000035, -73.96483949099996 40.68833096800006))",POINT (-73.96579435749996 40.68822317500005),40.68822317500005,-73.96579435749996,22.1%,52%
"MULTILINESTRING ((-73.86401600799996 40.87686201900004, -73.85996050799997 40.87686201900004))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Bronx,Mattie Harris Place,Tilden Street,Female,"Mattie Harris was a Lay Practical Nurse for more than 30 years and was a true Community Activist working in the Northeast Bronx for more than 35 years. She belonged to many community organizations including the Tilden Street Block Association, the Willia",between Bronxwood Avenue and East Gun Hill Road,10467,Seabrook,,"MULTILINESTRING ((-73.86401600799996 40.87686201900004, -73.85996050799997 40.87686201900004))",POINT (-73.86198825799997 40.87686201900004),40.87686201900004,-73.86198825799997,25.5%,53%
"MULTILINESTRING ((-73.82103620699996 40.72606125600004, -73.82092891899998 40.725481940000066))",Int. No. 935,10/02/2012,2012,2012/048,Street,Queens,Pat Dolan Way,Vleigh Place,Female,"Patricia Dolan was a Queens activist who advocated for pedestrian safety for over 25 years as president of the Kew Gardens Hills Civic Association.  She founded the Flushing Meadows Corona Park Conservancy, was a member of Community Board 8 and was also",Between 72nd Road and 72nd Drive,11367,Gennaro,,"MULTILINESTRING ((-73.82103620699996 40.72606125600004, -73.82092891899998 40.725481940000066))",POINT (-73.82098256299997 40.72577159800005),40.72577159800005,-73.82098256299997,17.6%,51%
"MULTILINESTRING ((-73.83000769399996 40.58184976300004, -73.83700825899996 40.579890066000075))",Int. No. 1103-A,12/28/2009,2009,2009/092,Street,Queens,Beverly Baxter Blvd.,Rockaway Beach Boulevard,Female,"Beverly Baxter graduated from Columbia University where she majored in theater, creative writing and journalism.  She moved to Rockaway in 1992 and was an active member of the community.  She wrote the column, “On the Beach” for the Rockaway Wave new",Between the west side of Beach 108 Street to the east side of Beach 116th Street,11694,Ulrich,,"MULTILINESTRING ((-73.83000769399996 40.58184976300004, -73.83700825899996 40.579890066000075))",POINT (-73.83350797649996 40.580869914500056),40.580869914500056,-73.83350797649996,17.6%,51%
"MULTILINESTRING ((-73.91301287599998 40.82018639700004, -73.91220016699998 40.82144689100005, -73.91177361099994 40.82210846100003))",Int. No. 825,10/10/2008,2008,2008/048,Street,Bronx,Yolanda Garcia Way,Third Avenue,Female,"Yolanda Garcia was age 53 at the time of her passing in February 2005.  She was one of the founders of Nos Quedamos/We Stay, a community group in her Melrose neighborhood that worked to prevent evictions of people who lived and worked in her neighborhood","Both sides of the street, from 156th Street to 159th Street",10451,Arroyo,,"MULTILINESTRING ((-73.91301287599998 40.82018639700004, -73.91220016699998 40.82144689100005, -73.91177361099994 40.82210846100003))",POINT (-73.91239324485706 40.82114742987504),40.82114742987504,-73.91239324485706,25.5%,53%
"MULTILINESTRING ((-73.85984441899996 40.89094195000007, -73.85904780299995 40.89068646700008))",Int. No. 849,08/10/2015,2015,2015/076,Street,Bronx,Carmen Rosa Way,East 229th Street,Female,"Carmen Rosa was a longtime district manager of Community Board 12 in the Bronx.  She worked for the Bronx Overall Economic Development Corporation, and for more than 20 years she was an adjunct professor at Monroe College.  Her accomplishments while serv",Between Lowerre Place and White Plains Road,10466,King,,"MULTILINESTRING ((-73.85984441899996 40.89094195000007, -73.85904780299995 40.89068646700008))",POINT (-73.85944611099995 40.890814208500075),40.890814208500075,-73.85944611099995,25.5%,53%
"MULTILINESTRING ((-73.94105042599995 40.714791095000066, -73.93882741099998 40.71535058100005))",Int. No. 556-A,06/14/2007,2007,2007/028,Street,Brooklyn,Betty “Moe” Trezza Way,Orient Avenue,Female,"Betty Trezza left her job as a Garment District embroiderer to play women’s professional baseball and went on to smack a memorable championship-winning hit.  She brought to the All-American Girls Professional Baseball League, created in the 1940’s to",Between Metropolitan Avenue and Olive Street,11211,Reyna,,"MULTILINESTRING ((-73.94105042599995 40.714791095000066, -73.93882741099998 40.71535058100005))",POINT (-73.93993891849996 40.71507083800006),40.71507083800006,-73.93993891849996,22.1%,52%
"MULTILINESTRING ((-73.76882843399994 40.60700398600005, -73.76859776399994 40.606187420000026, -73.76845292499996 40.605725171000074, -73.76821276199996 40.604958692000025))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Queens,Gloria Warshofsky Memorial Place,Waterview Street,Female,"Gloria Brochin Warshofsky was a life long resident of Far Rockaway.  Although best known as an interior decorator, she was also a staunch community activist.  She was President of the Bayswater Civic Association and a member of Queens Community Board 14",between Bayswater Avenue and Coldspring Road,11691,"Sanders, Jr.",,"MULTILINESTRING ((-73.76882843399994 40.60700398600005, -73.76859776399994 40.606187420000026, -73.76845292499996 40.605725171000074, -73.76821276199996 40.604958692000025))",POINT (-73.76852754113733 40.60597927101926),40.60597927101926,-73.76852754113733,17.6%,51%
"MULTILINESTRING ((-73.95241506699995 40.79908833600007, -73.95292298199996 40.807933665000064, -73.95304841199999 40.810117854000055, -73.95211441599997 40.81138782700003, -73.95167550899998 40.81184551400003, -73.95027100699997 40.81324070200003, -73.94912418599995 40.81479998100008, -73.94823392199999 40.816663951000066, -73.94705911599993 40.819123594000075, -73.94614528299996 40.821168355000054))",Int. No. 23,07/29/2002,2002,2002/019,Street,Manhattan,Harriet Tubman Avenue,St. Nicholas Avenue,Female,"The following biography was provided by “Spectrum: Home and School Magazine.” 

Harriet Tubman was born Harriet Ross in Dorchester County, Maryland in 1820. Her parents were from the Ashanti tribe of West Africa, and they worked as slaves on the Brod",from West 111th Street to West 141st Street,10030,"Perkins, Lopez,   Comrie, Davis, Foster, Koppell, Stewart, Weprin, Brewer, and Barron also Council Members Baez, Gioia, Nelson, Vann, and Clarke.",,"MULTILINESTRING ((-73.95241506699995 40.79908833600007, -73.95292298199996 40.807933665000064, -73.95304841199999 40.810117854000055, -73.95211441599997 40.81138782700003, -73.95167550899998 40.81184551400003, -73.95027100699997 40.81324070200003, -73.94912418599995 40.81479998100008, -73.94823392199999 40.816663951000066, -73.94705911599993 40.819123594000075, -73.94614528299996 40.821168355000054))",POINT (-73.95082786274538 40.8104745306018),40.8104745306018,-73.95082786274538,26.5%,52%
"MULTILINESTRING ((-73.85709843899997 40.89787306900007, -73.85817400499997 40.896279496000034))",Int. No. 1188-A,12/17/2013,2013,2013/131,Street,Bronx,Mary V. Lauro Way,Matilda Avenue,Female,"Mary V. Lauro graduated from Hunter College in 1947 and later went to work for Adhesive Products Corporation where she co-invented Monzini, a synthetic casting compound used by many museums in dinosaur skeletons and other exhibits and also sculptors and",Between East 236th Street and East 237th Street,10466,Koppell,,"MULTILINESTRING ((-73.85709843899997 40.89787306900007, -73.85817400499997 40.896279496000034))",POINT (-73.85763622199997 40.89707628250005),40.89707628250005,-73.85763622199997,25.5%,53%
"MULTILINESTRING ((-73.97106640699997 40.755136984000046, -73.96915130999997 40.75433239000006))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Manhattan,Katharine Hepburn Place,East 49th Street,Female,"""I'm a personality as well as an actress,"" Katharine Hepburn once declared. ""Show me an actress who isn't a personality, and you'll show me a woman who isn't a star."" Hepburn's bold, distinctive personality was apparent almost from birth. She inherited f",between Second Avenue and Third Avenue,10017,Speaker Miller and Council Member Moskowitz,,"MULTILINESTRING ((-73.97106640699997 40.755136984000046, -73.96915130999997 40.75433239000006))",POINT (-73.97010885849997 40.75473468700005),40.75473468700005,-73.97010885849997,26.5%,52%
"MULTILINESTRING ((-73.98621426599993 40.73032523900008, -73.98194418899999 40.72853250700007))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Manhattan,Jodie Lane Place,11th Street,Female,"Jodie Shonah Lane was born in Rochester, New York- on Sept 27, 1973. She was 30 years old. Jodie came to New York from Texas 10 years ago to attend Sarah Lawrence College. The City became such a part of her that she applied to Teachers College for her ma",between Avenue A and 2nd Avenue,10009,Lopez,,"MULTILINESTRING ((-73.98621426599993 40.73032523900008, -73.98194418899999 40.72853250700007))",POINT (-73.98407922749996 40.729428873000074),40.729428873000074,-73.98407922749996,26.5%,52%
"MULTILINESTRING ((-73.95450150299996 40.706640976000074, -73.95628785399998 40.70548403500004))",Int. No. 1045-A,07/01/2013,2013,2013/050,Street,Brooklyn,Sister Mary Marcellus Way,Hooper Street,Female,"Sister Mary Anne Marcellus began her religious life in 1958 as a Sister of St. Joseph of Brentwood, New York.  After being assigned to two other parishes, St. Agnes, and St. Ambrose, in 1965, she was missioned to Transfiguration Parish in Williamsburg",Between Marcy Avenue and Harrison Avenue,11211,Reyna,,"MULTILINESTRING ((-73.95450150299996 40.706640976000074, -73.95628785399998 40.70548403500004))",POINT (-73.95539467849997 40.70606250550006),40.70606250550006,-73.95539467849997,22.1%,52%
"MULTILINESTRING ((-74.00478378599996 40.709718061000046, -74.00429562399995 40.710157226000035))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Manhattan,Dr. Elizabeth Blackwell Place,Gold Street,Female,"Known worldwide as the first woman to receive her degree as a Doctor of Medicine, Elizabeth Blackwell represents a historic moment in modern medicine and women’s liberation.  She studied privately with independent physicians, an education which culmina",Between Beekman Street and Spruce Street,10038,Gerson,,"MULTILINESTRING ((-74.00478378599996 40.709718061000046, -74.00429562399995 40.710157226000035))",POINT (-74.00453970499996 40.70993764350004),40.70993764350004,-74.00453970499996,26.5%,52%
"MULTILINESTRING ((-73.88721082999996 40.75525036100004, -73.88691310499996 40.753679771000066))",Int. No. 1613,06/24/2017,2017,2017/110,Street,Queens,Dr. Dolores Beckham Way,80th Street,Female,"Dr. Dolores Beckham was an educator for 40 years and was the principal of the Joseph Pulitzer Middle School since 1999.  Under her leadership, she introduced a dual language program to the school and it was selected as one of the 15 recognized as the Cha",Between 34th Avenue and Northern Boulevard,11372,Dromm,,"MULTILINESTRING ((-73.88721082999996 40.75525036100004, -73.88691310499996 40.753679771000066))",POINT (-73.88706196749996 40.75446506600006),40.75446506600006,-73.88706196749996,17.6%,51%
"MULTILINESTRING ((-73.79538976299995 40.77423089200005, -73.79293554199995 40.77404198900007))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Queens,Jennifer Y. Wong Way,25th Avenue,Female,"Jennifer Y. Wong joined various Christian youth groups growing up, and taught two summers of Vacation Bible School while at Townsend Harris High School in Flushing.  She later became a Sunday school teacher and organized a Christian group at SUNY Bingham",Between Utopia Parkway and 169th Street,11357,Halloran,,"MULTILINESTRING ((-73.79538976299995 40.77423089200005, -73.79293554199995 40.77404198900007))",POINT (-73.79416265249995 40.77413644050006),40.77413644050006,-73.79416265249995,17.6%,51%
"MULTILINESTRING ((-73.87386566699996 40.75481583700008, -73.87353843699998 40.75304002000007))",Int. No. 935,10/02/2012,2012,2012/048,Street,Queens,Sister Mary Patrick McCarthy Way,94th Street,Female,Sister Mary Patrick McCarthy served as principal of the Blessed Sacrament School from 1967 to 2002 and belonged to the Grey Nuns of the Sacred Heart for 48 years.  She was an advocate for children and families who had recently immigrated from South Ameri,Between 34th Avenue and 35th Avenue,11372,Dromm,,"MULTILINESTRING ((-73.87386566699996 40.75481583700008, -73.87353843699998 40.75304002000007))",POINT (-73.87370205199997 40.753927928500076),40.75392792850008,-73.87370205199997,17.6%,51%
"MULTILINESTRING ((-73.91964854399998 40.80684152400005, -73.91806067599998 40.806161400000065))",Int. No. 1045-A,07/01/2013,2013,2013/050,Street,Bronx,Linda Ballou Way,137th Street,Female,"Linda Ballou was a counselor, entrepreneur and community activist.  She served as the Bronx Liaison for Mayor Edward Koch and received many awards, decorations and certificates of appreciation for her various acts within the community.  She served as a b",Between Brook Avenue and St. Ann’s Avenue,10454,Mark-Viverito,,"MULTILINESTRING ((-73.91964854399998 40.80684152400005, -73.91806067599998 40.806161400000065))",POINT (-73.91885460999998 40.80650146200006),40.80650146200006,-73.91885460999998,25.5%,53%
"MULTILINESTRING ((-73.78720957099995 40.59475377500007, -73.78702718099998 40.59269669200006))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Queens,Goldie M. Maple Way,Beach 57th Street,Female,"For over forty years, Goldie M. Maple devoted her life to the service of others. She insisted that true education begins in the home and effective public education must actively include parent involvement. To that end, in 1982, Ms. Maple started her info",Between Arverne Blvd and Beach Channel Drive,11692,Sanders,,"MULTILINESTRING ((-73.78720957099995 40.59475377500007, -73.78702718099998 40.59269669200006))",POINT (-73.78711837599997 40.59372523350007),40.59372523350007,-73.78711837599997,17.6%,51%
"MULTILINESTRING ((-73.96042964599997 40.65951399100004, -73.95695886799996 40.65973170500007))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Brooklyn,Carole Schaffer’s Way,Midwood Street,Female,Carole Schaffer served as a Lefferts Manor Executive Board Member for many years and as the vice president for the last 12 years.  The Lefferts Manor House Tour which is now in its 46th year was almost singlehandedly run by her.  She worked tirelessly fo,Between Flatbush Avenue and Bedford Avenue,11225,Eugene,,"MULTILINESTRING ((-73.96042964599997 40.65951399100004, -73.95695886799996 40.65973170500007))",POINT (-73.95869425699996 40.659622848000055),40.659622848000055,-73.95869425699996,22.1%,52%
"MULTILINESTRING ((-73.87471564599997 40.75477852300003, -73.87395121699996 40.75485725500005))",Int. No. 1227,08/03/2016,2016,2016/092,Street,Queens,Mary Vavruska Way,At the southeast corner of 34th Avenue,Female,"Mary Vavruska served the community for over 50 years and was instrumental in the building of Louis Armstrong I.S. 227.  She served as president of the Brulene Coop Board where she organized the NORC and Selfhelp Community Services for the Northridge, Sou",Between 93rd Street and 94th Street,11372,Dromm,,"MULTILINESTRING ((-73.87471564599997 40.75477852300003, -73.87395121699996 40.75485725500005))",POINT (-73.87433343149996 40.75481788900004),40.75481788900004,-73.87433343149996,17.6%,51%
"MULTILINESTRING ((-73.99642308899996 40.68103061000005, -73.99475743699998 40.68057904900007))",Int. No. 1300,01/20/2019,2019,2019/024,Street,Brooklyn,Giselle McGee Way,Carroll Street,Female,"Giselle McGee was a dedicated educator who pioneered French-English language programs in NYC schools.  She taught at St. Patrick's Elementary School in Richmond Town on Staten Island for 10 years, taught early childhood for NYDOE at P.S.126 in Chinatown,",Between Court Street and Smith Street,11231,Lander,,"MULTILINESTRING ((-73.99642308899996 40.68103061000005, -73.99475743699998 40.68057904900007))",POINT (-73.99559026299997 40.68080482950006),40.68080482950006,-73.99559026299997,22.1%,52%
"MULTILINESTRING ((-73.96261459899995 40.672585697000045, -73.96113938399998 40.67227241300003))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Brooklyn,Etheline Dubin Way,Lincoln Place,Female,Ms. Etheline Dubin was a great pioneer of change within the District 8 community; she was not afraid to speak out against injustice or to speak out for change.  Ms. Dubin fought diligently to maintain the integrity of the District 8 community and to make,between Washington Avenue and Classon Avenue,11238,James,,"MULTILINESTRING ((-73.96261459899995 40.672585697000045, -73.96113938399998 40.67227241300003))",POINT (-73.96187699149996 40.67242905500004),40.67242905500004,-73.96187699149996,22.1%,52%
"MULTILINESTRING ((-74.01957479899994 40.64249111200007, -74.01796547299995 40.64152070800003))",Int. No. 613,05/09/2005,2005,2005/043,Street,Brooklyn,Arleen Ramos Way,59th Street,Female,"Arleen was a long time community activist and a member of Community Board Seven where she was the chairperson of the youth committee.  She was the Director of Alternative Sanctions at the Red Hook Community Justice Center, where she was an integral compo",Between 3rd and 4th Avenues,11220,Gonzalez,,"MULTILINESTRING ((-74.01957479899994 40.64249111200007, -74.01796547299995 40.64152070800003))",POINT (-74.01877013599994 40.64200591000005),40.64200591000005,-74.01877013599994,22.1%,52%
"MULTILINESTRING ((-73.93788468699995 40.83855460800004, -73.93736254999999 40.83928783600004))",Int. No. 988,07/29/2018,2018,2018/139,Street,Manhattan,Normandía Maldonado Way,Amsterdam Avenue,Female,"Normandía Maldonado was a staunch advocate and leader in the Dominican community.  She co-founded Club Civico y Cultural Juan Pablo Duarte, Inc. currently known as the Instituto Duartiano de los Estados Unidos, Inc, the second oldest Dominican cultural",Between 166th Street and 167th Street,10032,Rodriguez,,"MULTILINESTRING ((-73.93788468699995 40.83855460800004, -73.93736254999999 40.83928783600004))",POINT (-73.93762361849997 40.83892122200004),40.83892122200004,-73.93762361849997,26.5%,52%
"MULTILINESTRING ((-73.85717754899997 40.822015528000065, -73.85673230199995 40.82017655300007))",Int. No.  1631,08/23/2019,2019,2019/158,Street,Bronx,Gladys De La Cruz Way,Stickball Boulevard,Female,"Gladys De La Cruz was an extraordinary woman, a teacher, mentor, dean, and administrator at the Adlai E. Stevenson High School. She worked tirelessly for nearly thirty-five years to change the lives of countless youths in the area by guiding thousands of",Between Lafayette Avenue and Seward Avenue,10473,Diaz,,"MULTILINESTRING ((-73.85717754899997 40.822015528000065, -73.85673230199995 40.82017655300007))",POINT (-73.85695492549996 40.821096040500066),40.821096040500066,-73.85695492549996,25.5%,53%
"MULTILINESTRING ((-73.98607838299995 40.68509195300004, -73.98572075499999 40.68561173400008))",Int. No. 1227,08/03/2016,2016,2016/092,Street,Brooklyn,Hope Reichbach Way,Bond Street,Female,Hope Reichbach worked as Council Member Stephen Levin’s Community Liaison and Communications Director from 2010 until 2011.  She fought against the Bloomberg administration’s plan to cut the important neighborhood based child care programs of Bethel,Between Dean Street and Bergen Street,11201,Levin,,"MULTILINESTRING ((-73.98607838299995 40.68509195300004, -73.98572075499999 40.68561173400008))",POINT (-73.98589956899997 40.68535184350006),40.68535184350006,-73.98589956899997,22.1%,52%
"MULTILINESTRING ((-73.92512242899994 40.743733650000024, -73.92438750399998 40.74364626700003))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Queens,Lily Gavin Place,Queens Boulevard,Female,"Lily Gavin was the owner of Dazies Restaurant in Sunnyside, Queens and a leader in the community.  She was very active in several community groups such as the Sunnyside Chamber of Commerce and the Sunnyside Senior Center.  She was the honorary director o",Between 39th Place and 40th Street,11104,Van Bramer,,"MULTILINESTRING ((-73.92512242899994 40.743733650000024, -73.92438750399998 40.74364626700003))",POINT (-73.92475496649996 40.74368995850003),40.74368995850003,-73.92475496649996,17.6%,51%
"MULTILINESTRING ((-73.83230190399996 40.849395954000045, -73.83388440799996 40.849550151000074))",Int. No. 1300,01/20/2019,2019,2019/024,Street,Bronx,Michele Muccio Way,St. Theresa Avenue,Female,Michele Muccio was a class mom for many years and also served on the Home School Association Board.  She volunteered as a cheerleading coach at St. Theresa in 2007 and later became the cheerleading coach at Cardinal Spellman High School.  Michele Muc,Between Edison Avenue and Mayflower Avenue,10461,Gjonaj,,"MULTILINESTRING ((-73.83230190399996 40.849395954000045, -73.83388440799996 40.849550151000074))",POINT (-73.83309315599996 40.84947305250005),40.84947305250005,-73.83309315599996,25.5%,53%
"MULTILINESTRING ((-73.99998339499996 40.59833960000003, -73.99882706499994 40.59945744400005))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Brooklyn,Marion Castellano Way,Bay 28th Street,Female,"Marion Castellano was born on September 5, 1925 in Bensonhurst, Brooklyn.  By the time she reached her eleventh birthday her father had passed away from pneumonia.  She began cleaning apartments at age eleven to help her family make ends meet and became",Between Cropsey Avenue and Bath Avenue,11214,Oddo,,"MULTILINESTRING ((-73.99998339499996 40.59833960000003, -73.99882706499994 40.59945744400005))",POINT (-73.99940522999995 40.598898522000034),40.598898522000034,-73.99940522999995,22.1%,52%
"MULTILINESTRING ((-73.89404711499998 40.81842130800004, -73.89312443499995 40.81930834900004))",Int. No. 388,07/09/2014,2014,2014/034,Street,Bronx,"Sister Thomas, S.C Way",Southern Boulevard,Female,Sister Miriam Thomas joined the Sisters of Charity of New York in 1951 and took an active role in community service and was a teacher in Longwood's Saint Athanasius Parish beginning in 1967. Her work at Saint Athanasius continued until 2013 as the direct,Between Tiffany Street and Barretto Street,10459,Arroyo,,"MULTILINESTRING ((-73.89404711499998 40.81842130800004, -73.89312443499995 40.81930834900004))",POINT (-73.89358577499996 40.81886482850004),40.81886482850004,-73.89358577499996,25.5%,53%
"MULTILINESTRING ((-73.95249821899995 40.80334879600008, -73.95213264399996 40.80386163700007))",Int. No. 877-A,12/29/2008,2008,2008/064,Street,Manhattan,Zora Neale Hurston Place,7th Avenue,Female,"Zora Neale Hurston was an African-American folklorist and author during the time of the Harlem Renaissance and is best known as a leader of the Harlem Renaissance, her multifaceted use of ethnographic studies and for her 1937 novel, “Their Eyes Were Wa",Between 116th Street and 117th Street,10026,Dickens,,"MULTILINESTRING ((-73.95249821899995 40.80334879600008, -73.95213264399996 40.80386163700007))",POINT (-73.95231543149995 40.803605216500074),40.803605216500074,-73.95231543149995,26.5%,52%
"MULTILINESTRING ((-73.89382938799997 40.819946480000056, -73.89285403899999 40.82087280500008))",Int. No. 556-A,06/14/2007,2007,2007/028,Street,Bronx,Casita Maria Way,Simpson Street,Female,"Casita Maria had a long-standing commitment to the South Bronx and East Harlem for over 73 years.  Because of her innovating programming and services, many families have experienced a better quality of life.  On March 1, 2007, the Bronx community celebra",From East 163rd Street to Barretto Street,10459,Arroyo,,"MULTILINESTRING ((-73.89382938799997 40.819946480000056, -73.89285403899999 40.82087280500008))",POINT (-73.89334171349998 40.82040964250007),40.82040964250007,-73.89334171349998,25.5%,53%
"MULTILINESTRING ((-73.98840944799997 40.72735378100003, -73.98631732499996 40.726475675000074))",Int. No. 761-A,03/07/2012,2012,2012/014,Street,Manhattan,Miriam Friedlander Way,East 6th Street,Female,"Miriam Friedlander represented the East Village and Lower East Side in the New York City Council from 1974 – 1991 and was an advocate for gay and lesbian, women, tenants and homelessness issues.  She was a leader in the creation of shelters for women a",Between 1st Avenue and 2nd Avenue,10003,Mendez,,"MULTILINESTRING ((-73.98840944799997 40.72735378100003, -73.98631732499996 40.726475675000074))",POINT (-73.98736338649996 40.726914728000054),40.726914728000054,-73.98736338649996,26.5%,52%
"MULTILINESTRING ((-73.77096013299996 40.77086202100003, -73.77064899699997 40.76969603900005))",Int. No. 1188-A,12/17/2013,2013,2013/131,Street,Queens,Mrs. Geri Cilmi Place PS 41,214 Lane,Female,Geri Cilmi was a New York City Science Facilitator.  She participated in the District’s Professional Development of Observation Series Excellence in Education in which she presented many workshops at the New York City Association for Supervision and Cu,Between 34th Avenue and 35th Avenue,11361,Halloran,,"MULTILINESTRING ((-73.77096013299996 40.77086202100003, -73.77064899699997 40.76969603900005))",POINT (-73.77080456499996 40.77027903000004),40.77027903000004,-73.77080456499996,17.6%,51%
"MULTILINESTRING ((-73.87245398699997 40.684856884000055, -73.87153130699994 40.68498298800006))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Brooklyn,Cesiah Toro Mullane Place,Adler Place,Female,"Cesiah Toro Mullane, a long time resident of Cypress Hills, was born in Guayama, Puerto Rico on April 20, 1929. She was the youngest daughter in a family of eleven children. Cesiah completed high school in Rio Piedras and attended the University of Puert",between Hemlock Street and Crescent Street,11208,Dilan,,"MULTILINESTRING ((-73.87245398699997 40.684856884000055, -73.87153130699994 40.68498298800006))",POINT (-73.87199264699996 40.68491993600006),40.68491993600006,-73.87199264699996,22.1%,52%
"MULTILINESTRING ((-73.94704529699999 40.83078412200007, -73.94449988099996 40.82970443200003))",Int. No. 1045-A,07/01/2013,2013,2013/050,Street,Manhattan,Mildred Sutherland Way,West 152nd Street,Female,"Mildred Sutherland was a dedicated community activist who was elected president of the Block Association of West 152nd Street in 1975.  In addition she served as the DC37 and UFT Union Leader for several years, served as a Girl Scout leader from 1967 unt",Between Broadway and Amsterdam,10031,Jackson,,"MULTILINESTRING ((-73.94704529699999 40.83078412200007, -73.94449988099996 40.82970443200003))",POINT (-73.94577258899997 40.83024427700005),40.83024427700005,-73.94577258899997,26.5%,52%
"MULTILINESTRING ((-73.93643757999996 40.80572977400004, -73.93605938799993 40.80623124300007))",Int. No. 761-A,03/07/2012,2012,2012/014,Street,Manhattan,Cheyenne Baez Way,West side of Lexington Avenue,Female,"Cheyenne Baez grew up in East Harlem and attended PS 30.  When her family relocated to Philadelphia, she received a scholarship to Cardinal Dougherty High School and was invited to participate in the 2009 National Leadership Summit in Washington, D.C.  W",Between 127th Street and 128th Street,10035,Dickens,,"MULTILINESTRING ((-73.93643757999996 40.80572977400004, -73.93605938799993 40.80623124300007))",POINT (-73.93624848399995 40.805980508500056),40.805980508500056,-73.93624848399995,26.5%,52%
"MULTILINESTRING ((-73.90814915899995 40.74612492500006, -73.90834068099997 40.74570383500003, -73.90853271499998 40.74528161300003))",Int. No. 620,02/05/2015,2015,2015/015,Street,Queens,Alice Cardona Way,56th Street,Female,"Alice Cardona was a leader in the New York Puerto Rican and Latino community who advocated for women’s rights, minority rights, and bilingual education.  She was the author of Puerto Rican Women Achievers in New York City, and was the first Latina to r",Between Woodside Avenue and Skillman Avenue,11377,Van Bramer,,"MULTILINESTRING ((-73.90814915899995 40.74612492500006, -73.90834068099997 40.74570383500003, -73.90853271499998 40.74528161300003))",POINT (-73.90834093759186 40.74570326926926),40.74570326926926,-73.90834093759186,17.6%,51%
"MULTILINESTRING ((-73.88891188899998 40.816485519000025, -73.88834862499994 40.81434392500006))",Int. No. 1227,08/03/2016,2016,2016/092,Street,Bronx,Martha Watford Way,Manida Street,Female,"Martha Watford was an active member of the community for over 45 years, over which time she dedicated her life to the education and early development of thousands of young children in and around the Hunts Point Peninsula.  She served over 1,000 familie",Between Spofford Avenue and Lafayette Avenue,10474,"Salamanca, Jr.",,"MULTILINESTRING ((-73.88891188899998 40.816485519000025, -73.88834862499994 40.81434392500006))",POINT (-73.88863025699996 40.81541472200004),40.81541472200004,-73.88863025699996,25.5%,53%
"MULTILINESTRING ((-73.96544576199994 40.646620633000055, -73.96502654299996 40.64437896700008))",Int. No. 968,07/20/2024,2024,2024/081,Street,Brooklyn,Mary Kay Gallagher Way,Marlborough Road,Female,Mary Kay Gallagher was known for preserving Victorian Flatbush revival work in the Ditmas and Prospect Park South neighborhoods. She founded the Mary Kay Gallagher Real Estate Company to specialize in selling older homes while maintaining their original,Between Albermarle Road and Beverley Road,11226,Joseph,,"MULTILINESTRING ((-73.96544576199994 40.646620633000055, -73.96502654299996 40.64437896700008))",POINT (-73.96523615249995 40.64549980000007),40.64549980000007,-73.96523615249995,22.1%,52%
"MULTILINESTRING ((-73.98517910099997 40.72754809200006, -73.98321035999999 40.72673096800003))",Int. No. 935,10/02/2012,2012,2012/048,Street,Manhattan,Sara Curry Way,St. Marks Place,Female,"Sara Curry founded the Little Missionary’s Day Nursery, the oldest non-sectarian school in New York City in 1896.  Little Missionary’s Day Nursery provides affordable day care to children of all ethnic and religious backgrounds.  She dedicated her li",Between First Avenue and Avenue A,10009,Mendez,,"MULTILINESTRING ((-73.98517910099997 40.72754809200006, -73.98321035999999 40.72673096800003))",POINT (-73.98419473049998 40.727139530000045),40.727139530000045,-73.98419473049998,26.5%,52%
