Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes
"MULTILINESTRING ((-73.86818414199996 40.693244109000034, -73.86751895399993 40.69214320000003))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,SSA Orville M. Williams Way,Dexter Court,Male,Orville M. Williams served with the NYPD Division of School Safety for two years. He suffered a fatal heart attack after responding to a series of fights between students at school.,Between 85th Drive and 86th Road,11421,Holden and  Ariola,
"MULTILINESTRING ((-73.88555573899998 40.84661390200006, -73.88497369999999 40.84730984300006))",Int. No. 897,03/19/2023,2023,2023/044,Street,Bronx,Mary Mitchell Way,Mapes Avenue,Female,"Mary Mitchell served the community during the most difficult years of the 1960's, 70's and 80's. She did it from an old garment warehouse where The Mary Mitchell Family and Youth Center now stands. She served the East Tremont Avenue and Crotona Avenue co",Between East 180th Street and East 181st Street,10460,Feliz,
"MULTILINESTRING ((-73.80292527199998 40.753715879000026, -73.80189411099997 40.75373168200008))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Queens,Olde Towne Burial Ground Lane,46th Avenue,Group,"The Town of Flushing purchased the site as a public burial ground in 1840. Over 1,000 individuals were buried there, the majority of whom were African-American or Native American. The last burial occurred in 1898, the same year that the City of New York",Between 164th Street and 165th Street,11358,Ung,
"MULTILINESTRING ((-73.94301636799997 40.84034427200004, -73.94232435799995 40.842056882000065))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Manhattan,Irving Cancer Center Way,Fort Washington Avenue,Group,"The Herbert Irving Comprehensive Cancer Center at New York Presbyterian Hospital provides state of the art care for patients with various types of cancer, as well as supporting community programs, such as providing free mammograms for uninsured women.  F",between the north side of West 165th Street and the south side of West 168th Street,10032,Jackson,
"MULTILINESTRING ((-73.94659544099994 40.838053810000076, -73.94436920699997 40.83712034600006))",Int. No. 897,03/19/2023,2023,2023/044,Street,Manhattan,Agripina Núñez Way,West 161st Street,Female,Agripina Núñez immigrated to the United States in 1975. She was a parishioner of the Our Lady of Esperanza Church in Manhattan for 44 years and was very involved in causes for the poor and underserved communities. She served as president of the 894 Riv,Between Riverside Drive and Fort Washington Avenue,10032,Abreu,
"MULTILINESTRING ((-73.76735070399997 40.759871832000044, -73.76749151999996 40.760379741000065))",Int. No. 1103-A,12/28/2009,2009,2009/092,Street,Queens,Sol Soskin Way,215th Street,Male,"Sol Soskin earned two Purple Hearts during World War II and was a member of the Allied Forces that liberated Rome and Nazi Concentration Camp in Salzburg, Austria.  He later went on to serve his community by being an active member of Community Board 11 f",Between 45th Road and Northern Boulevard,11361,Avella,
"MULTILINESTRING ((-73.87401293099998 40.68666336200005, -73.87364278599995 40.685190815000055, -73.87320803699998 40.683461213000044, -73.87300442099996 40.68331144000007, -73.87256727599998 40.68157225700003))",Int. No. 556-A,06/14/2007,2007,2007/028,Street,Brooklyn,Officer Timothy M. Hurley Way,Pine Street,Male,"Police Officer Timothy M. Hurley grew up in Brooklyn on Euclid Avenue and attended Blessed Sacrament School, graduating in 1955. He then attended Franklin K. Lane High School, graduating in 1959. On June 7, 1968 Police Officer Hurley was appointed to the",Between Euclid Avenue and Crescent Street,11208,Dilan,
"MULTILINESTRING ((-73.85595404299994 40.86049542100005, -73.85592185599995 40.86105530400005))",Int. No. 1613,06/24/2017,2017,2017/110,Street,Bronx,LEP Joseph A. Morabito Way,Laconia Avenue,Male,"Joseph A. Morabito served in law enforcement for over 34 years starting in the United States Navy from 1978 until 1982.  While in the Navy, he served on the USS Kitty Hawk, the Naval Investigation Service as a Military Police Officer and worked as an Und",Between Stell Place and Waring Avenue,10469,Vacca,
"MULTILINESTRING ((-73.88822634099995 40.72846239300003, -73.88820488299996 40.727877000000035, -73.88820339999995 40.72783654800003))",Int. No. 988,07/29/2018,2018,2018/139,Street,Queens,FDNY Paramedic Lt. Mario Bastidas Way,73rd Place,Male,Lt. Mario Bastidas served as a paramedic for 26 years and then a Lt. Paramedic in the FDNY Emergency Medical Service Command.  He responded to the terrorist attacks on 9/11 and spent countless hours at the World Trade Center in rescue and recovery effort,Between 57th Avenue and the Queens Midtown Expressway,11378,Holden,
"MULTILINESTRING ((-73.93000312799995 40.59939431600003, -73.93129058799997 40.598563401000035))",Int. No. 1103-A,12/28/2009,2009,2009/092,Street,Brooklyn,Veterans Memorial Way,Whitney Avenue,Group,This street co-naming will honor and recognize the lives of all individuals for their esteemed military service.  The location has been chosen because it is part of the route for many parades honoring the nation’s veterans.  Among these groups are the,Between Gerritsen Avenue and Burnett Street,11234,Fidler,
"MULTILINESTRING ((-73.86165957099996 40.74509858500005, -73.85963986699994 40.74570618000007))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Queens,Marlon A. Bustamante Place,47th Avenue,Male,"Marlon Bustamante is a local hero. He gave his life for his country in Iraq on February 1, 2006, in a roadside bombing in eastern Baghdad. He was on his second tour of duty with the 101st Airborne Division’s 502nd Infantry regiment based in Fort Campbe",Between 102nd and 104th Streets,11368,Monserrate,
"MULTILINESTRING ((-73.94103471799997 40.82914366800003, -73.94049827699996 40.829880383000045, -73.94027297099996 40.830316725000046))",Int. No. 1045-A,07/01/2013,2013,2013/050,Street,Manhattan,Willie Mays Place,St. Nicholas Place,Male,"Willie Mays was born on May 6, 1931, in Westfield, Alabama, and began playing baseball at an early age. He played in the minor leagues for two seasons and was picked up by the New York Giants in 1951.  Although having no hits in his first twelve at bats,",Between 153rd Street and 155th Street,10032,Jackson,
"MULTILINESTRING ((-73.91172364499994 40.71465320300007, -73.91100920199995 40.714246596000066, -73.91024951899993 40.713814239000044))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,Police Officer Robert E. Walsh Way,54th Place,Male,Robert E. Walsh served with the NYPD for 12 years and was assigned to the 7th Precinct in Manhattan. He was killed in the line of duty when he attempted to stop a robbery in progress while off-duty.,Between Arnold Avenue and Nurge Avenue,11378,Holden,
"MULTILINESTRING ((-73.99866824599997 40.59959846400005, -73.99714670199995 40.60106845700005))",Int. No. 556-A,06/14/2007,2007,2007/028,Street,Brooklyn,Robert Merrill Way,Bay 28th Street,Male,"Robert Merrill was a Brooklyn-born and bred Metropolitan Opera singer in which he gave over 500 performances over a thirty-year career.  He also appeared on the Ed Sullivan Show, sang in a studio recording of Fiddler on the Roof and was also known for si",Between Benson and Bath Avenues,11214,"Recchia, Jr.",
"MULTILINESTRING ((-73.90776828599996 40.70611825900005, -73.90717819999998 40.70577463200004))",Int. No. 1300,01/20/2019,2019,2019/024,Street,Queens,Father Yohanna T. Guirgis Way,Woodward Avenue,Male,Father Yohanna T. Guirgis arrived in Ridgewood in 1973 and began his ministry in expanding the awareness of the Coptic Christians who are a minority in the Egyptian population accumulating only 10 percent.  As persecution began to arise in Egypt against,Between Grove Street and Linden Street,11385,Holden,
"MULTILINESTRING ((-74.00016006699997 40.74279071500007, -73.99754652199994 40.74170146400007))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Manhattan,Jane Wood's Way,West 19th Street,Female,"Jane Wood, a legendary tenant activist in Chelsea, passed away at age 96 this year. She was a passionately committed activist whose work was the like of which we may never see again. Whether one agreed with Wood’s leftist politics or not, one could not",between 7th Avenue and 8th Avenue,10001,Quinn,
"MULTILINESTRING ((-73.94495697899998 40.70103706500004, -73.94445955099997 40.70059710000004))",Int. No. 556-A,06/14/2007,2007,2007/028,Street,Brooklyn,Father Donald J. Kenna Way,Throop Avenue,Male,"Father Donald J. Kenna, an ordained priest of the Roman Catholic Church since 1964, had been a tremendous asset to his community.  He unselfishly gave himself to his parishioners and was an integral part of the renovation of abandoned buildings and helpe",Between Whipple Street and Thornton Street,11206,Reyna,
"MULTILINESTRING ((-73.96044992599997 40.700839287000065, -73.95878099499998 40.70191926500007))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Brooklyn,Rabbi Joseph Weber Way,Penn Street,Male,"Rabbi Joseph Weber was born in 1931 in Mako, (Makava) Hungary. Weber and his family were rounded up and deported to a converted brick factory in a makeshift ghetto in the nearby city of Sered. Two months later, they boarded the cattle cars that were dest",Between Bedford Avenue and Wythe Avenue,11249,Restler,
"MULTILINESTRING ((-73.93662232699995 40.802343499000074, -73.93469113699996 40.801531355000066))",Int. No. 590-A,07/11/2011,2011,2011/047,Street,Manhattan,Detective Omar J. Edwards Way,East 123rd Street,Male,"Omar Edwards graduated from the Police Academy in July 2007 and was assigned to the 25th Precinct ant-crime team.  In 2009, Officer Edwards was fatally shot in a friendly fire incident while he was in plainclothes chasing a man who had just broken into h",Between Second Avenue and Third Avenue,10035,Mark-Viverito,
"MULTILINESTRING ((-73.92799766599995 40.86617159800005, -73.92733516099997 40.86562393000003))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Manhattan,Quisqueya Plaza,,Group,"This plaza’s name will honor the large Dominican American community of the surrounding Washington Heights and Inwood neighborhoods. Quisqueya, meaning “cradle of life,” is one of two aboriginal names for the island called La Isla Española (Hispani",Plaza at Dyckman Street between Broadway and Seaman Avenue,10034,Rodriguez,
"MULTILINESTRING ((-73.96879592999994 40.69302873200007, -73.96850386799997 40.691627733000075))",Int. No. 1054,02/25/2016,2016,2016/023,Street,Brooklyn,Carey Gabay Way,Clinton Avenue,Male,"Carey Gabay grew up in the Boston Secor Houses, a Bronx public-housing project. He graduated from Harvard, where he studied government, and in his senior year was elected president of the undergraduate council, the main body of student government.  He at",Between Willoughby Avenue and Myrtle Avenue,11205,Cumbo,
"MULTILINESTRING ((-73.75370613899997 40.60954658800006, -73.75414065699994 40.608119173000034))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Queens,Lois Sanders Drive,Beach Channel Drive,Female,"Lois sanders was born in Quitman, Mississippi and moved to New York City in 1941.  She was an active member of the Lenox Avenue Church of God where she met the love of her life, James Sanders, Sr., and married him after just two weeks.  In 1955, they mov",Between Nameoke Street and Horton Avenue,11691,Sanders,
"MULTILINESTRING ((-73.98105859999998 40.57478417900006, -73.98086587899996 40.573504445000026))",Int. No. 825,10/10/2008,2008,2008/048,Street,Brooklyn,Polar Bear Club Walk,West side of Stillwell Avenue,Group,The Polar Bear Club is the oldest winter bathing organization in the United States.  Members of the Club swim in the Atlantic Ocean at Coney Island every Sunday from October through April.,Between Bowery Street and the Boardwalk,11224,"Recchia, Jr.",
"MULTILINESTRING ((-73.99730195399997 40.66096739100004, -73.99524857399996 40.65972171100003))",Int. No. 968,07/20/2024,2024,2024/081,Street,Brooklyn,Ijaira Z. Gonzalez Street,24th Street,Female,"Ijaira Z. Gonzalez was a community activist in Sunset Park. She was a summer camp counselor at PS 1 and PS 24 and created the 24th Street Festival in 2006 and was the inspiration for the creation of the Carnval Del Barrio festival. In 2013, she created J",Between 4th Avenue and 5th Avenue,11232,Avilés,
"MULTILINESTRING ((-73.92304899799996 40.760793024000066, -73.92480316299998 40.75862525300005))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Queens,"Stanley, Kathleen & Robert Rygor Way",34th Street,Male/Female,"Stanley Rygor (April 9, 1926 – December 25, 2019) Kathleen Rygor (August 31, 1929 – April 8, 2021) and Robert Rygor (June 17, 1953 – January 16, 1994) were very involved in the LGBT community. Robert was a well-known LGBT community activist and pro",Between Broadway and 34th Avenue,11106,Dromm,
"MULTILINESTRING ((-73.74692978999997 40.77192408700006, -73.74634506799998 40.77198705600006, -73.74587413099994 40.77203777200003, -73.74553427299998 40.77207437200008, -73.74533521699993 40.77207744800006, -73.74523060999996 40.77205256500008, -73.74517562499994 40.772012447000066, -73.74511460499997 40.77193576600007, -73.74509113499994 40.77185502300006))",Int. No. 565,10/20/2003,2003,2003/062,Street,Queens,Little Neck Road,38th Drive,Misc,"Sometime in the 1920’s streets throughout the area of Douglaston, Queens and Little Neck, Queens were given numerical designations in order to come “in line” with the New York City street grid.  In 1970-1971, a movement to re-instate the named stre",Between Circle Road and the intersection of Douglas Road and Cherry Street (also known as 39th Avenue),11363,Avella,
"MULTILINESTRING ((-73.94286767299997 40.83151921500007, -73.94154266199996 40.83095502500004))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Manhattan,Prince Hall Plaza,West 155th Street,Group,"Organized in 1812 in New York City, Prince Hall Mason is the third oldest African-American organization in New York. The founder Prince Hall was also one of the first black social activists of the Post-Revolutionary Era in nineteenth century Boston. Prin",between St. Nicholas Avenue and Amsterdam Avenue,10032,Jackson,
"MULTILINESTRING ((-73.96925532899996 40.79025120400007, -73.96667772599994 40.78916882300007))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Manhattan,PS 84 Sidney Morison Way,West 92nd Street,Male,Sidney Morison joined the New York City School System in the 1950’s as a math teacher at J.H.S. 118.  He later became a math coordinator for District 3 and the Deputy to the Superintendent for District 3 before he became the principal of PS 84 for twen,Between Columbus Avenue and Central Park West,10025,Brewer,
"MULTILINESTRING ((-73.74523094599994 40.77160765700006, -73.74550855399997 40.771437029000026, -73.74573419599994 40.771335805000035, -73.74587769499993 40.77130939800003, -73.74619419499999 40.77128146800004, -73.74697270699994 40.77123373200004, -73.74710547599994 40.771217482000054, -73.74728317199998 40.77116111300006, -73.74756748599998 40.77111337700006, -73.74784576599995 40.77109154100003, -73.74858836799996 40.77103598200006, -73.74949459299995 40.77096818100006, -73.75017763599999 40.770914582000046))",Int. No. 565,10/20/2003,2003,2003/062,Street,Queens,Cherry Street,39th Avenue,Misc,"Sometime in the 1920’s streets throughout the area of Douglaston, Queens and Little Neck, Queens were given numerical designations in order to come “in line” with the New York City street grid.  In 1970-1971, a movement to re-instate the named stre",Between Douglaston Parkway and Little Neck Road (also known as 38th Drive),11363,Avella,
"MULTILINESTRING ((-73.77939554999995 40.68452989900004, -73.77368244499996 40.68105582700008))",Int. No. 746-A,12/29/2005,2005,2005/131,Street,Queens,"Bishop Curtis G. Norton, Sr. Drive",Marsden Street,Male,Bishop Curtis G. Norton was a product of the New York City public school system.  Bishop Norton was the recipient of many Citations and Letters.  Most notably was an Honorary Doctorate Degree from James A. Teamer School of Religion and Doctorate of Human,Between Baisley Boulevard and Smith Street,11434,Comrie,
"MULTILINESTRING ((-73.91852092699997 40.75551199300003, -73.91967606499998 40.75407212300007))",Int. No. 2187,01/17/2021,2021,2021/014,Street,Queens,Edward Charles “Whitey” Ford Way,43rd Street,Male,Whitey Ford grew up in Queens and made his major league debut pitching for the Yankees in 1950 and spent his entire career with the team. He helped the Yankees win six World Series titles and 11 American League pennants in his 16 seasons. He had a career,Between 34th Avenue and 35th Avenue,11101,Van Bramer,
"MULTILINESTRING ((-73.86774668499999 40.829623799000046, -73.86728749099996 40.82765595400008))",Int. No. 613,05/09/2005,2005,2005/043,Street,Bronx,Rev. Isaiah J. Jones Blvd.,Commonwealth Avenue,Male,"Originally from Antigua, Reverend Jones migrated to the United States in the early 1960’s with his wife and three children where he educated, trained and prepped for his ministry.  Soon after, he was given the opportunity to start a small church on Kel",Between Watson and Gleason Avenues,10472,Palma,
"MULTILINESTRING ((-73.90407779799995 40.836170182000046, -73.90354403799995 40.836022042000025))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Bronx,Father Joseph M. Elliott Place,St. Paul’s Place,Male,"The Rev. Joseph Merritt Elliott was a graduate of Dartmouth College and Union Theological Seminary.  Following his graduation from seminary in 1959, the Rt. Rev. Horace W.B. Donegan assigned him to the staff of St. Paul’s, which was at the time a missi",between Washington Avenue and Third Avenue,10456,Foster,
"MULTILINESTRING ((-73.90033923699997 40.87437180300003, -73.90095316499998 40.872352644000046))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Bronx,Reverend Father Thomas A. Lynch Way,Webb Avenue,Male,"Father Thomas A. Lynch was born and raised in the Bronx along with his six siblings. He grew up in the Parish of San Nicolás de Tolentino and attended school there. He went to the cathedral preparatory seminary, where he began to think about a vocation",Between Reservoir Avenue and West 197th Street,10462,Sanchez,
"MULTILINESTRING ((-73.96158598699998 40.68271014800007, -73.96079622599996 40.68279602900003))",Int. No. 1227,08/03/2016,2016,2016/092,Street,Brooklyn,Cecil Collymore Way,Putnam Avenue,Male,"Cecil Collymore owned a number of shops including Collymore Laundry, a 99-cent store, and a coffee shop.  He purchased the property along Putnam Avenue in 1978 when it was a place of prostitution and drugs. Now, the area is being developed and changing p",Between Grand Avenue and Downing Street,11238,Cumbo,
"MULTILINESTRING ((-73.88699273299994 40.70136402300005, -73.88678352099998 40.69994263800004))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Queens,Firefighter William Tolley Way,66th Place,Male,"William Tolley was a 14-year veteran of the FDNY who was assigned to Ladder 135.  He was killed in the line of duty while helping contain an apartment fire in Queens.  He was also a natural drummer, and his passion for percussion led him to become a ve",Between Myrtle Avenue and Cooper Avenue,11385,Crowley,
"MULTILINESTRING ((-73.88463620899995 40.73386072200003, -73.88392166899996 40.733594065000034))",Int. No. 613,05/09/2005,2005,2005/043,Street,Queens,Genevieve “Jean” Albetta Way,Calamus Avenue,Female,"Genevieve (Jean) albetta was a long-time school crossing guard at the corner of 84th Street and Grand Avenue in Elmhurst for St. Adalbert’s School.  A vibrant and active participant in community affairs, she loved her neighborhood and could be found at",Between Grand and Ankener Avenues,11373,Katz,
"MULTILINESTRING ((-73.94221301999994 40.84211613700006, -73.93992777799997 40.84115297000005))",Int. No. 2187,01/17/2021,2021,2021/014,Street,Manhattan,Healthcare Heroes Way,West 168th Street,Group,"This co-naming honors the thousands of dedicated medical and nursing professionals, EMT’s, social workers, administrators, custodial and food service staff, volunteers and others vital to the continuity of care during the COVID-19 pandemic, especially",Between Broadway and Fort Washington Avenue,10032,Rodriguez,
"MULTILINESTRING ((-73.88883376899997 40.74342325200007, -73.88798340899996 40.74356474900003, -73.88623897999997 40.743781511000066))",Int. No. 480-A,08/14/2022,2022,2022/081,Street,Queens,Little Thailand Way,Woodside Avenue,Group,"This co-naming will commemorate the vibrant Thai community in Woodside, Elmhurst and Jackson Heights.",Between 76th Street and 79th Street,11373,Krishnan,
"MULTILINESTRING ((-73.88382370299996 40.841815490000045, -73.88285810799994 40.84133864100005))",Int. No. 1045-A,07/01/2013,2013,2013/050,Street,Bronx,Lieutenant Patrick J. Sullivan Way,East Tremont Avenue,Male,Patrick J. Sullivan became a sworn member of the New York City Fire Department in 1985.  He started with Engine 310 and Ladder 174 in Brooklyn and was later promoted to the rank of Lieutenant and assigned to the Bronx.  He was transferred to Ladder 5,Between Vyse Avenue and Daly Avenue,10460,Rivera,
"MULTILINESTRING ((-73.95569148199996 40.64865457600007, -73.95485999699997 40.64869120600008))",Int. No. 897,03/19/2023,2023,2023/044,Street,Brooklyn,Bishop Samuel Green II Place,Snyder Avenue,Male,"Bishop Samuel Green II founded the Gospel Tabernacle Church of Jesus Christ, which he ran for over 30 years. He received a certificate of appreciation from the Food Bank for New York City.",Between Woods Place and Bedford Avenue,11226,Joseph,
"MULTILINESTRING ((-74.02900051999995 40.62852447000006, -74.02925801199996 40.62790766400008))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Brooklyn,Joseph Joyce Way,3rd Avenue,Male,"Joe Joyce was a true son of Brooklyn. He served in Vietnam in the United States Army.  Though he moved to Staten Island to raise his family, he remained a “Bay Ridger” at heart, and, in 1978 he realized his lifelong dream of opening a pub there.  H",Between 79th Street and 80th Street,10075,Brannan,
"MULTILINESTRING ((-73.99255297999997 40.703295592000075, -73.99257264899995 40.70264762000005))",Int. No. 480-A,08/14/2022,2022,2022/081,Street,Brooklyn,Jane Walentas Way,Dock Street,Female,Jane Walentas was the founder of Jane's Carousel in Brooklyn Bridge Park. She was a DUMBO resident and community builder. She worked as an Art Director for many years in cosmetics and fashion before embarking on the task of restoring the Carousel. She re,Between Front Street and Water Street,11201,Restler,
"MULTILINESTRING ((-73.85363343499995 40.68202061300008, -73.85337057899994 40.68149040900005))",Int. No. 988,07/29/2018,2018,2018/139,Street,Queens,Shri Prakash Gossai Marg Way,86th Street,Male,"Mr. Shri Prakash Gossai, born on April 25, 1953, in Mahaica Creek, Guyana, was internationally known and loved. He came to the United States in 1983 on a teaching scholarship for marine biology and taught for 10 years at Thomas Jefferson High School, ser",Between 101st Avenue and 102nd Avenue,11416,Ulrich,
"MULTILINESTRING ((-73.79070587199993 40.724261683000066, -73.78304548299997 40.72677409500005, -73.78216035399998 40.72716842900007, -73.78195026999998 40.72726202300004, -73.78069854999995 40.72769285000004))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Queens,Arlene Fuchs Katz Drive,80th Drive,Female,"Arlene Fuchs Katz was a longtime community activist in Queens who lived in Jamaica Estates. Ms. Katz taught fifth and sixth grades at Public School 131 for 25 years and was a moving force in having the school named in honor of Abagail Adams, wife to Pres",between 188th Street and Utopia Parkway,11423,Gennaro and Weprin,
"MULTILINESTRING ((-73.98826665899998 40.64452014600005, -73.98680485499995 40.64362059600006, -73.98631455499998 40.64331887700007, -73.98461348999996 40.642289565000056, -73.98326355699999 40.64145883000003, -73.98311384599998 40.64138211900007, -73.98293442699998 40.641322821000074, -73.98279698399995 40.64125239700007, -73.98267049799995 40.64118758600006, -73.98243101999998 40.641040212000064, -73.98192991699995 40.640731834000064, -73.98021477999998 40.63969396600004))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Brooklyn,Martense Lane,36th Street,Group,"The Brooklyn Heritage Association has requested that this supplemental street name be added to honor a piece of road that had a historical role in the American Revolution.  At that time, and until the adoption of the modern street grid in the Town of Fla",Between Fort Hamilton Parkway and 15th Avenue,11218,DeBlasio,
"MULTILINESTRING ((-73.89610662799998 40.81625829600006, -73.89546624999997 40.81587514800003))",Int. No. 1227,08/03/2016,2016,2016/092,Street,Bronx,Lt. Christopher Pupo Way,Longwood Avenue,Male,Christopher Pupo served with the New York City Police Department (NYPD) for 14 years and was assigned as the Special Operations Lieutenant in the 41st Precinct in the Bronx.  He also served in the United States Coast Guard and had been deployed to the,Between Southern Boulevard and Bruckner Boulevard,10455,"Salamanca, Jr.",
"MULTILINESTRING ((-73.92500583699996 40.67468693100005, -73.92507825699994 40.67390374200005))",Int. No. 1188-A,12/17/2013,2013,2013/131,Street,Brooklyn,Dr. Joan Maynard Way,Buffalo Avenue,Female,"Joan Maynard’s life work was preserving a 19th century settlement of free blacks in Brooklyn.  She was the driving force behind the preservation of Weeksville, the pre-Civil War community of freed slaves on the edge of Crown Heights, just south of Bedf",Between St. Marks Avenue and Bergen Street,11233,Vann,
"MULTILINESTRING ((-73.84540642299999 40.77309797700008, -73.83729542299994 40.77282375900006))",Int. No. 849,08/10/2015,2015,2015/076,Street,Queens,Ptl. Phillip Cardillo Way,28th Avenue,Male,"Police Officer Cardillo had been on the police force for five years. He was 31 years old when he received a 10-13 call, signifying that a fellow officer was in danger) and rushed to the location along with his partner. His colleagues and the President of",Between College Point Boulevard and Ulmer Street,11354,Vallone,
"MULTILINESTRING ((-73.90431133699997 40.724392246000036, -73.90188393799997 40.72422759500006))",Int. No. 1188-A,12/17/2013,2013,2013/131,Street,Queens,Pope John Paul II Way,56th Road,Male,"Pope John Paul II born Karol Józef Wojtyła reigned as pope of the Catholic Church for almost 27 years, from October 16, 1978 until his death, making his the second-longest pontificate (or the third-longest, as enumerated by Roman Catholic tradition).",Between 61st Street and 64th Street,11378,Crowley,
"MULTILINESTRING ((-73.92293776999998 40.767632037000055, -73.92227526499994 40.76730904200008))",Int. No. 849,08/10/2015,2015,2015/076,Street,Queens,Dennis Syntilas Way,30th Avenue,Male,"Dennis Syntilas founded the Greek-American Homeowners Association and helped create Athens Square, a park and amphitheater that features sculptures of Greek philosopher Socrates and the goddess Athena.  The Greek-American Homeowners Association continues",Between 29th Street and 30th Street,11102,Constantinides,
"MULTILINESTRING ((-74.02811288599997 40.63070411900003, -74.02835964899998 40.630105653000044))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Brooklyn,Al Nahas Way,3rd Avenue,Male,"Al Nahas, born in Brooklyn on December 25, 1928 where he attended Manual Training High School in Park Slope. After graduating he joined the Army and was sent to Okinawa. After being Honorably Discharged he came home to Bay Ridge where he spent the rest o",between 76th Street and 77th Street,11209,Gentile,
"MULTILINESTRING ((-73.91037234799995 40.855808936000074, -73.90976055799996 40.857101224000075, -73.90984918899994 40.85762259900008))",Int. No. 1449-A,03/18/2017,2017,2017/045,Street,Bronx,"Dr. Roscoe C. Brown, Jr. Way",University Avenue,Male,"Roscoe C. Brown, Jr. flew 68 combat missions as a fighter squadron commander as a member of the Tuskegee Airmen in World War II.  He was credited with being the first black fighter pilot to shoot down a German fighter jet and was later awarded the Congre",Between Hall of Fame Terrace and West 180th Street,10453,Cabrera,
"MULTILINESTRING ((-73.77311996799995 40.66455502100007, -73.77188615199998 40.662915148000025))",Int. No. 1103-A,12/28/2009,2009,2009/092,Street,Queens,J. Clifford Gadsden Place,175th Street,Male,J. Clifford Gadsden was a community leader and activist for decades and was often referred to as “the Mayor of Springfield Gardens.”  He was a great spokesman who motivated the residents of Springfield Gardens to unite in order to protect their right,Between 145th Avenue and 146th Avenue,11434,"Sanders, Jr.",
"MULTILINESTRING ((-73.89183126999995 40.74889183800008, -73.89145576099997 40.74704270900003))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Queens,Kalpana Chawla Way,74th Street,Female,"Kalpana Chawla was born on August 1, 1961 in Karnal, India. She graduated from Tangore School, India. Kalpana continued her education earning a Bachelor of Science degree from Punjab Engineering College, a Master of Science degree from the University of",between Roosevelt Avenue and 37th Avenue,11372,Sears,
"MULTILINESTRING ((-73.93959906599997 40.83566871200003, -73.93783551399997 40.83493307600003))",Int. No. 388,07/09/2014,2014,2014/034,Street,Manhattan,Emmett W. Bassett Way,162nd Street,Male,"Emmett W. Bassett was the first African-American to obtain a doctoral degree in dairy technology. He was born in Henry County, Virginia where his primary education was in a one room schoolhouse where classes frequently were suspended either because there",Between Edgecomb Avenue and St. Nicholas Avenue,10032,Rodriguez,
"MULTILINESTRING ((-73.85625987599997 40.818063220000056, -73.85716695099995 40.82201949600005))",Int. No. 36,07/29/2002,2002,2002/019,Street,Bronx,Steve Mercado Stickball Boulevard,Stickball Boulevard,Male,"The following biographical information was provided by Community Board 9 in the Bronx and the Office of the Bronx Borough President. 

Steve Mercado was born on June 1, 1963 and grew up playing stickball on the streets of The Bronx. He was widely known f",between Randall a/k/a Newman Avenue Avenue and Lafayette Avenue,10473,"Diaz, Baez, Jackson, Seabrook and Serrano",
"MULTILINESTRING ((-73.73232457499995 40.69459066200005, -73.73313191999995 40.69304507800007))",Int. No. 1103-A,12/28/2009,2009,2009/092,Street,Queens,Morris R. Lee Place,228th Street,Male,"Morris R. Lee was born and raised in Tuscaloosa and served in the United States Air Force for 10 years. He moved his family to New York and settled in Cambria Heights, Queens, NY in 1968. He earned a B.A. and Masters Degree in economics from Queens Colle",Between Linden Boulevard and 116th Avenue,11411,Comrie,
"MULTILINESTRING ((-73.83106856199998 40.65864878800005, -73.83038240399998 40.655900357000064))",Int. No. 824,12/26/2001,2001,2001/071,Structure,Queens,Rambersville-Hawtree Memorial Bridge,102nd Street Lenihan’s Bridge,Group,"The following material was provided by the Ramblersville-Hawtree Civic Association and drawn from the Tribune (November 9-15, 2000). 

Residents of the Ramblersville-Hawtree community have requested that the name of the “102nd Street-Lenihan’s Bridge",between 160th Avenue and 163rd Avenue,11414,"Stabile, Abel and Ognibene; also, Council Member Leffler",
"MULTILINESTRING ((-73.98299542299998 40.69753839700007, -73.98064848999996 40.697444853000036))",Int. No. 877-A,12/29/2008,2008,2008/064,Street,Brooklyn,Shawn Powell Place,Concord Street,Male,"Shawn Powell was appointed to the FDNY on October 14, 1996 and was assigned to Engine Company 207 in Brooklyn.  He tragically died in the terrorist attacks on September 11, 2001.",Between Gold Street and Navy Street,11201,James,
